quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,0.8%,,4,,0.10,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
10,10,0.0%,10,4,10,0.00,10,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
20,20,0.0%,20,6,20,0.00,20,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.02,,0
,,0.1%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,16,,0.00,,0
,,0.0%,,18,,0.01,,0
30,30,0.0%,30,18,30,0.01,30,0
,,0.0%,,18,,0.01,,0
,,0.7%,,16,,0.04,,0
,,0.0%,,32,,0.05,,0
,,0.0%,,14,,0.00,,0
,,0.0%,,14,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.01,,0
40,40,0.0%,40,16,40,0.01,40,0
,,0.0%,,18,,0.01,,0
,,0.0%,,18,,0.01,,0
,,0.0%,,18,,0.01,,0
,,0.0%,,18,,0.00,,0
,,0.0%,,18,,0.00,,0
,,0.0%,,22,,0.01,,
,,0.0%,,18,,0.00,,0
,,,,18,,,,
,,0.2%,,20,,0.03,,0
50,50,,50,,50,,50,0
,,0.0%,,38,,0.01,,0
,,0.0%,,,,0.01,,0
,,0.0%,,18,,0.00,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,18,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,18,,0.00,,0
,,0.1%,,18,,0.00,,0
60,60,0.0%,60,22,60,0.01,60,0
,,0.0%,,20,,0.01,,0
,,0.2%,,16,,0.01,,0
,,0.0%,,16,,0.00,,0
,,0.3%,,42,,0.05,,0
,,0.0%,,24,,0.03,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.00,,0
,,0.1%,,24,,0.00,,0
70,70,0.0%,70,24,70,0.00,70,0
,,0.0%,,24,,0.01,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,26,,0.00,,0
,,0.0%,,24,,0.00,,0
,,0.0%,,22,,0.01,,0
,,0.0%,,22,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,22,,0.01,,0
80,80,0.0%,80,22,80,0.01,80,0
,,0.0%,,22,,0.02,,0
,,0.0%,,22,,0.01,,0
,,0.0%,,22,,0.00,,0
,,0.1%,,28,,0.02,,0
,,0.0%,,22,,0.01,,0
