quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70,70,,70,,70,,70,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
80,80,,80,,80,,80,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.0%,,4,,0.00,,0
,,0.9%,,,,,,
,,0.0%,,,,,,
,,,,2,,0.00,,
,,,,,,0.00,,
90,90,,90,,90,0.00,90,0
,,,,6,,,,
,,0.0%,,,,,,0
,,0.0%,,,,0.00,,0
,,,,,,,,
,,0.0%,,,,0.00,,
,,,,,,,,
,,,,,,,,
,,0.0%,,2,,0.00,,
,,0.0%,,2,,,,0
100,100,0.0%,100,,100,,100,0
,,0.0%,,,,,,0
,,,,,,0.00,,0
,,,,,,,,0
,,,,,,,,
,,0.0%,,,,,,
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
110,110,,110,,110,,110,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,2,,,,
,,,,,,,,
,,,,,,,,
120,120,,120,,120,0.00,120,
,,,,,,0.00,,0
,,,,,,,,0
,,,,,,,,
,,0.0%,,,,,,
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
130,130,,130,2,130,,130,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,0.00,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.0%,,,,,,
,,,,,,,,
140,140,,140,,140,,140,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,2,,,,
,,,,2,,,,
,,,,2,,,,
,,,,2,,,,
,,,,,,0.00,,0
,,,,,,0.00,,0
