quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.5%,,2,,0.09,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,24,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,24,,0.00,,0
,,0.1%,,2,,0.00,,0
60,60,0.0%,60,4,60,0.01,60,0
,,0.0%,,6,,0.01,,0
,,0.1%,,8,,0.01,,0
,,0.0%,,12,,0.01,,0
,,0.2%,,16,,0.01,,0
,,0.2%,,16,,0.00,,0
,,0.2%,,18,,0.00,,0
,,0.0%,,26,,0.04,,0
,,0.2%,,26,,0.01,,0
,,0.1%,,20,,0.01,,0
70,70,0.1%,70,20,70,0.01,70,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.02,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,26,,0.01,,0
80,80,0.0%,80,28,80,0.03,80,0
,,0.1%,,28,,0.01,,0
,,0.0%,,30,,0.01,,0
,,0.3%,,30,,0.01,,0
,,0.1%,,26,,0.01,,0
,,0.1%,,26,,0.02,,0
,,0.2%,,28,,0.01,,0
,,0.1%,,28,,0.01,,0
,,0.0%,,30,,0.10,,0
,,0.0%,,28,,0.03,,0
90,90,0.0%,90,28,90,0.03,90,0
,,0.1%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.1%,,26,,0.01,,0
,,0.0%,,26,,0.01,,0
,,0.4%,,28,,0.01,,0
,,0.1%,,28,,0.01,,0
,,0.1%,,26,,0.01,,0
,,0.2%,,26,,0.01,,0
,,0.2%,,24,,0.01,,0
100,100,0.1%,100,26,100,0.01,100,0
,,0.0%,,26,,0.02,,0
,,0.0%,,26,,0.01,,0
,,0.0%,,26,,0.01,,0
,,0.1%,,26,,0.01,,0
,,0.0%,,30,,0.01,,0
,,0.0%,,26,,0.01,,0
,,0.0%,,26,,0.01,,0
,,0.0%,,30,,0.01,,0
,,0.1%,,28,,0.01,,0
