quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,1.3%,,6,,0.71,,480
,,1.7%,,3,,0.64,,240
,,1.7%,,2,,0.27,,160
,,3.1%,,1,,0.13,,80
,,0.9%,,1,,0.13,,80
,,0.8%,,1,,0.13,,80
,,0.7%,,1,,0.13,,80
,,0.8%,,1,,0.13,,80
10,10,0.6%,10,1,10,0.17,10,80
,,1.4%,,1,,0.15,,80
,,0.6%,,1,,0.14,,80
,,0.5%,,1,,0.15,,80
,,1.3%,,1,,0.12,,80
,,0.7%,,1,,0.13,,80
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,0.9%,20,1,20,0.15,20,80
,,1.1%,,1,,0.12,,80
,,0.6%,,1,,0.17,,80
,,1.0%,,1,,0.13,,80
,,1.0%,,1,,0.19,,80
,,1.2%,,1,,0.15,,80
,,0.9%,,1,,0.13,,80
,,0.3%,,1,,0.39,,80
,,1.0%,,2,,0.39,,160
,,1.0%,,2,,0.25,,160
30,30,0.7%,30,1,30,0.13,30,80
,,1.1%,,1,,0.12,,80
,,0.8%,,1,,0.13,,80
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.5%,,1,,0.13,,80
,,0.8%,,1,,0.12,,80
,,0.7%,,1,,0.15,,80
40,40,1.3%,40,1,40,0.15,40,80
,,1.0%,,1,,0.16,,80
,,1.2%,,1,,0.14,,80
,,0.5%,,1,,0.14,,80
,,1.2%,,1,,0.13,,80
,,0.4%,,1,,0.14,,80
,,0.4%,,1,,0.23,,80
,,0.8%,,1,,0.13,,80
,,0.9%,,1,,0.23,,80
,,0.8%,,1,,0.15,,80
50,50,0.5%,50,1,50,0.13,50,80
,,0.9%,,1,,0.13,,80
,,,,,,,,
,,0.8%,,3,,0.66,,240
,,1.3%,,4,,0.54,,320
,,0.9%,,2,,0.30,,160
,,0.8%,,2,,0.27,,160
,,1.7%,,2,,0.36,,160
,,0.7%,,1,,0.17,,80
,,0.5%,,2,,0.35,,160
60,60,1.2%,60,1,60,0.14,60,80
,,0.7%,,1,,0.13,,320
,,0.4%,,1,,0.61,,80
,,0.2%,,1,,0.13,,80
,,0.6%,,4,,0.54,,320
,,0.7%,,4,,0.61,,320
,,1.0%,,5,,0.72,,400
,,1.0%,,4,,0.59,,320
,,0.7%,,4,,0.54,,320
,,1.0%,,4,,0.65,,320
70,70,0.8%,70,4,70,0.66,70,320
,,0.8%,,5,,0.87,,400
,,0.6%,,6,,0.88,,480
,,0.6%,,5,,0.74,,400
,,0.7%,,6,,0.83,,480
,,0.6%,,6,,0.91,,480
,,0.8%,,6,,0.93,,480
,,0.6%,,6,,0.94,,480
,,0.5%,,6,,0.83,,480
,,0.5%,,6,,0.84,,480
80,80,0.6%,80,6,80,0.97,80,480
,,0.6%,,6,,0.94,,480
,,0.6%,,6,,0.92,,480
,,0.5%,,6,,0.87,,480
,,0.4%,,6,,0.80,,480
,,0.4%,,6,,0.84,,480
,,0.5%,,6,,0.89,,480
,,0.4%,,6,,0.86,,480
,,0.4%,,6,,0.92,,480
,,0.5%,,6,,0.80,,480
90,90,0.4%,90,6,90,0.87,90,480
,,0.4%,,6,,0.89,,480
,,0.4%,,6,,0.96,,480
,,0.4%,,6,,0.87,,480
