quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.5%,,66,,0.27,,32
,,0.3%,,88,,0.06,,0
,,0.3%,,58,,0.04,,0
,,0.4%,,72,,0.04,,0
,,0.2%,,72,,0.04,,0
,,0.6%,,72,,0.04,,0
,,0.2%,,142,,0.04,,0
,,0.2%,,90,,0.03,,0
10,10,0.2%,10,92,10,0.07,10,0
,,0.1%,,98,,0.04,,0
,,0.4%,,100,,0.05,,0
,,0.2%,,102,,0.04,,0
,,0.5%,,112,,0.07,,0
,,0.3%,,152,,0.06,,0
,,0.2%,,112,,0.04,,0
,,0.2%,,114,,0.04,,0
,,0.5%,,134,,0.07,,0
,,0.4%,,134,,0.05,,0
20,20,0.4%,20,138,20,0.09,20,0
,,0.2%,,142,,0.07,,0
,,0.5%,,142,,0.07,,0
,,0.5%,,142,,0.07,,0
,,0.2%,,150,,0.07,,0
,,0.7%,,152,,0.10,,0
,,0.3%,,150,,0.07,,0
,,1.1%,,168,,0.19,,0
,,0.5%,,156,,0.06,,0
,,0.4%,,162,,0.07,,0
30,30,0.1%,30,288,30,0.16,30,0
,,0.4%,,254,,0.07,,0
,,0.5%,,278,,0.12,,0
,,0.6%,,278,,0.08,,0
,,0.3%,,150,,0.08,,0
,,0.6%,,276,,0.07,,0
,,0.4%,,154,,0.10,,0
,,0.4%,,278,,0.13,,0
,,0.3%,,184,,0.08,,0
,,0.4%,,278,,0.15,,0
40,40,0.8%,40,320,40,0.08,40,0
,,0.3%,,172,,0.21,,0
,,1.3%,,192,,0.09,,0
,,0.3%,,258,,0.16,,0
,,0.3%,,248,,0.12,,0
,,0.3%,,292,,0.14,,0
,,0.4%,,274,,0.12,,0
,,0.4%,,192,,0.19,,0
,,0.5%,,362,,0.23,,0
,,0.4%,,398,,0.10,,0
50,50,0.2%,50,362,50,0.18,50,0
,,0.4%,,446,,0.10,,0
,,0.3%,,362,,0.17,,0
,,0.5%,,380,,0.10,,0
,,0.4%,,356,,0.17,,0
,,0.2%,,362,,0.12,,0
,,0.3%,,292,,0.10,,0
,,0.3%,,238,,0.12,,0
,,0.3%,,236,,0.16,,0
,,0.2%,,310,,0.15,,0
60,60,0.3%,60,316,60,0.16,60,0
,,0.2%,,414,,0.22,,0
,,0.2%,,440,,0.22,,0
,,0.3%,,448,,0.22,,0
,,0.3%,,406,,0.20,,0
,,0.2%,,518,,0.26,,0
,,0.2%,,674,,0.23,,0
,,0.2%,,674,,0.28,,0
,,0.2%,,568,,0.28,,0
,,0.2%,,494,,0.27,,0
70,70,0.2%,70,674,70,0.28,70,0
,,0.2%,,674,,0.36,,0
,,0.2%,,610,,0.28,,0
,,0.2%,,698,,0.35,,0
,,0.2%,,620,,0.34,,0
,,0.2%,,732,,0.34,,0
,,0.1%,,780,,0.30,,0
,,0.2%,,762,,0.36,,0
,,0.2%,,714,,0.34,,0
,,0.2%,,698,,0.41,,0
80,80,0.2%,80,804,80,0.34,80,0
,,0.2%,,760,,0.39,,0
,,0.2%,,654,,0.33,,0
,,0.2%,,804,,0.34,,0
,,0.1%,,696,,0.34,,0
,,0.2%,,1078,,0.32,,0
,,0.2%,,860,,0.38,,0
,,0.1%,,804,,0.39,,0
,,0.2%,,804,,0.39,,0
,,0.2%,,776,,0.37,,0
90,90,0.2%,90,1078,90,0.41,90,0
,,0.2%,,876,,0.53,,0
,,0.2%,,1006,,0.55,,0
,,0.2%,,1078,,0.57,,0
,,0.2%,,1070,,0.53,,0
,,0.2%,,1078,,0.55,,0
,,0.1%,,1070,,0.59,,0
,,0.1%,,1142,,0.55,,0
,,0.1%,,1286,,0.48,,0
,,0.2%,,1026,,0.55,,0
100,100,0.2%,100,946,100,0.48,100,0
,,0.2%,,982,,0.47,,0
,,0.2%,,1030,,0.55,,0
,,0.2%,,1286,,0.55,,0
,,0.2%,,1092,,0.64,,0
,,0.2%,,1286,,0.64,,0
,,0.2%,,1140,,0.66,,0
,,0.1%,,1108,,0.62,,0
,,0.2%,,1286,,0.69,,0
,,0.2%,,1300,,0.68,,0
110,110,0.1%,110,1264,110,0.69,110,0
,,0.1%,,1404,,0.52,,0
,,0.2%,,1458,,0.66,,0
,,0.1%,,1244,,0.66,,0
,,0.1%,,1322,,0.66,,0
,,0.1%,,1288,,0.54,,0
,,0.2%,,1116,,0.59,,0
,,0.1%,,1260,,0.66,,0
,,0.1%,,1164,,0.58,,0
,,0.1%,,1244,,0.66,,0
120,120,0.1%,120,1244,120,0.63,120,0
,,0.1%,,1358,,0.64,,0
,,0.1%,,1318,,0.75,,0
,,0.1%,,1476,,0.78,,0
,,0.1%,,1244,,0.61,,0
,,0.1%,,1498,,0.66,,0
,,0.1%,,1418,,0.66,,0
,,0.1%,,1406,,0.73,,0
,,0.1%,,1146,,0.68,,0
,,0.1%,,1104,,0.65,,0
130,130,0.1%,130,1312,130,0.57,130,0
,,0.1%,,1382,,0.75,,0
,,0.1%,,1384,,0.75,,0
,,0.1%,,1552,,0.62,,0
,,0.1%,,1492,,0.66,,0
,,0.1%,,1648,,0.68,,0
,,0.1%,,1712,,0.71,,0
,,0.1%,,1754,,0.79,,0
,,0.1%,,1600,,0.70,,0
,,0.1%,,1552,,0.75,,0
140,140,0.1%,140,1336,140,0.83,140,0
,,0.1%,,1576,,0.90,,0
,,0.1%,,1588,,0.92,,0
,,0.1%,,1670,,0.88,,0
,,0.1%,,1784,,0.77,,0
,,0.1%,,1770,,0.70,,0
,,0.1%,,1902,,0.80,,0
,,0.2%,,1764,,0.79,,0
,,0.1%,,1752,,0.83,,0
,,0.1%,,1854,,0.91,,0
150,150,0.1%,150,1982,150,0.92,150,0
,,0.1%,,2002,,0.97,,0
,,0.1%,,2065,,0.91,,0
,,0.1%,,1806,,0.87,,0
,,0.1%,,2108,,0.91,,0
,,0.1%,,2140,,0.97,,0
,,0.1%,,1718,,0.96,,0
,,0.1%,,1436,,1.27,,0
,,0.1%,,1950,,0.97,,0
,,0.1%,,1510,,1.05,,0
160,160,0.1%,160,1868,160,1.01,160,0
,,0.1%,,1646,,0.84,,0
,,0.1%,,1714,,0.69,,0
,,0.1%,,1980,,0.92,,0
,,0.1%,,2112,,0.73,,0
,,0.1%,,1774,,0.97,,0
,,0.1%,,1950,,0.85,,0
,,0.1%,,1712,,0.87,,0
END,END,0.1%,END,1680,END,0.98,END,0
,,0.1%,,1560,,1.05,,END
,,0.1%,,1720,,0.87,,
,,0.1%,,1878,,0.92,,
,,END,,1868,,0.83,,
,,,,1836,,0.83,,
,,,,1862,,0.80,,
,,,,1902,,1.11,,
,,,,2084,,1.27,,
,,,,END,,1.01,,
,,,,,,0.89,,
,,,,,,0.91,,
,,,,,,0.99,,
,,,,,,1.13,,
,,,,,,END,,
