quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,3.6%,,3,,2.21,,700000
,,13.0%,,1,,1.36,,1100000
,,13.0%,,1,,1.54,,500000
,,18.2%,,1,,1.54,,900000
,,42.3%,,1,,1.78,,900000
,,17.1%,,1,,2.06,,1100000
,,9.0%,,2,,2.46,,1300000
,,27.7%,,2,,14.36,,1500000
10,10,25.5%,10,2,10,14.36,10,3400000
,,25.5%,,1,,15.25,,1900000
,,10.9%,,1,,15.25,,3400000
,,27.7%,,2,,3.60,,2100000
,,11.6%,,1,,4.48,,9900000
,,8.0%,,2,,12.27,,9900000
,,60.2%,,1,,15.25,,4600000
,,55.8%,,1,,5.64,,2700000
,,24.7%,,1,,15.25,,3000000
,,27.7%,,1,,14.36,,9900000
20,20,21.3%,20,2,20,14.36,20,3300000
,,27.7%,,1,,14.13,,3300000
,,47.3%,,1,,5.19,,9900000
,,46.8%,,2,,15.25,,3400000
,,25.5%,,1,,15.25,,3400000
,,25.5%,,2,,16.20,,3600000
,,42.5%,,2,,7.04,,3600000
,,38.6%,,2,,18.27,,3800000
,,64.2%,,1,,24.73,,3900000
,,27.7%,,1,,15.25,,9900000
30,30,64.2%,30,4,30,24.73,30,4000000
,,27.7%,,1,,15.25,,9900000
,,46.8%,,4,,24.73,,8300000.000000001
,,32.6%,,2,,9.47,,8500000
,,74.8%,,1,,17.42,,4200000
,,68.1%,,2,,25.61,,4500000
,,84.5%,,4,,24.73,,16100000.000000002
,,84.5%,,2,,24.12,,4700000
,,65.8%,,4,,25.28,,9900000
,,27.7%,,2,,25.69,,16100000.000000002
40,40,71.1%,40,2,40,24.73,40,9600000
,,84.5%,,4,,17.01,,9900000
,,27.7%,,2,,44.26,,16100000.000000002
,,80.6%,,4,,24.73,,4700000
,,84.5%,,1,,39.65,,4900000
,,72.2%,,3,,43.65,,16100000.000000002
,,72.7%,,4,,24.73,,10000000
,,58.2%,,3,,48.16,,10300000
,,72.9%,,3,,30.40,,10500000
,,84.5%,,4,,24.73,,16100000.000000002
50,50,73.4%,50,2,50,34.95,50,10700000
,,84.5%,,6,,36.43,,16100000.000000002
,,81.8%,,6,,49.30,,16900000
,,72.4%,,3,,103.30,,17600000
,,46.7%,,6,,103.30,,17400000
,,84.5%,,3,,50.23,,16100000.000000002
,,71.6%,,4,,58.33,,16600000.000000002
,,87.0%,,6,,103.30,,21300000
,,84.5%,,6,,62.69,,16100000.000000002
,,70.7%,,4,,103.30,,11300000
60,60,70.7%,60,4,60,103.30,60,17400000
,,70.7%,,6,,71.63,,40800000
,,80.2%,,6,,79.22,,40800000
,,84.6%,,5,,82.95,,17500000
,,70.7%,,5,,103.30,,17500000
,,70.7%,,6,,103.30,,23200000
,,62.3%,,6,,103.60,,40800000
,,73.2%,,6,,102.52,,40800000
,,89.6%,,6,,103.30,,40800000
,,74.9%,,6,,105.88,,31700000
70,70,70.7%,70,6,70,112.29,70,40800000
,,70.7%,,6,,104.17,,40800000
,,83.3%,,6,,116.96,,32799999.999999996
,,87.3%,,6,,126.14,,40400000
,,70.7%,,6,,155.53,,40800000
,,80.7%,,6,,139.51,,43600000
,,82.7%,,6,,171.24,,45400000
,,71.8%,,6,,171.24,,47300000
,,82.7%,,6,,128.89,,49600000
,,78.2%,,6,,171.24,,60800000
80,80,82.7%,80,6,80,171.24,80,49400000
,,76.5%,,6,,132.53,,50900000
,,78.2%,,6,,148.20,,60800000
,,78.2%,,6,,171.24,,60800000
,,84.7%,,6,,169.56,,60800000
,,78.2%,,6,,171.24,,54600000
,,79.9%,,6,,171.24,,69800000
,,78.2%,,6,,171.24,,55200000
,,83.2%,,6,,163.26,,69800000
,,78.2%,,6,,202.28,,60800000
90,90,84.3%,90,6,90,191.13,90,69800000
,,78.2%,,6,,207.69,,58100000
,,83.1%,,6,,222.48,,60800000
,,78.2%,,6,,226.86,,60800000
,,84.4%,,6,,223.90,,69800000
,,84.4%,,6,,235.02,,60800000
,,84.4%,,6,,336.17,,62900000
,,84.4%,,6,,336.17,,64500000
,,87.0%,,6,,246.52,,69800000
,,84.4%,,6,,336.17,,69800000
100,100,88.6%,100,6,100,251.40,100,66400000.00000001
,,84.4%,,6,,420.20,,69800000
,,84.4%,,6,,262.17,,69800000
,,88.3%,,6,,336.17,,72100000
,,84.4%,,6,,290.10,,74500000
,,84.9%,,6,,420.20,,77000000
,,90.0%,,6,,240.19,,78800000
,,85.3%,,6,,336.17,,80200000
,,84.9%,,6,,316.43,,80900000
,,86.7%,,6,,336.17,,85500000
110,110,90.8%,110,6,110,420.20,110,86200000
,,86.0%,,6,,287.20,,90400000
,,85.0%,,6,,336.17,,96200000
,,88.6%,,6,,420.20,,96800000
,,93.8%,,6,,300.93,,101400000
,,90.0%,,6,,434.46,,102000000
,,93.8%,,6,,300.71,,84400000
,,88.8%,,6,,420.20,,103300000
,,93.8%,,6,,311.05,,104100000
,,92.8%,,6,,336.17,,106600000
120,120,91.9%,120,6,120,434.46,120,109000000
,,93.8%,,6,,420.20,,110200000
,,92.8%,,6,,420.20,,113500000
,,89.5%,,6,,354.65,,161100000
,,93.8%,,6,,352.57,,120000000
,,92.8%,,6,,434.46,,149300000
,,92.8%,,6,,434.46,,123600000
,,93.8%,,6,,324.65,,161100000
,,93.8%,,6,,510.23,,157800000
,,92.5%,,6,,346.57,,124100000
130,130,89.4%,130,6,130,420.20,130,124700000
,,91.8%,,6,,434.46,,149300000
,,92.8%,,6,,384.81,,161100000
,,86.7%,,6,,426.64,,124800000
,,93.2%,,6,,388.69,,161100000
,,90.5%,,6,,510.23,,157800000
,,93.8%,,6,,434.46,,149300000
,,92.8%,,6,,434.46,,149300000
,,92.8%,,6,,456.46,,157800000
,,91.0%,,6,,510.23,,135800000
140,140,88.9%,140,6,140,397.05,140,161100000
,,92.9%,,6,,510.23,,138200000
,,90.3%,,6,,442.94,,157800000
,,93.2%,,6,,479.85,,142500000
,,92.8%,,6,,434.82,,149300000
,,94.6%,,6,,456.46,,145700000
,,92.1%,,6,,510.23,,157800000
,,94.5%,,6,,434.46,,161100000
,,91.8%,,6,,456.46,,181900000
,,92.8%,,6,,433.75,,161100000
150,150,92.1%,150,6,150,426.45,150,146400000
,,93.3%,,6,,460.54,,147400000
,,92.5%,,6,,499.88,,149300000
,,94.2%,,6,,456.46,,149300000
,,91.8%,,6,,510.23,,153200000
,,92.0%,,6,,629.91,,157800000
,,93.3%,,6,,510.23,,181900000
,,93.3%,,6,,456.46,,157800000
,,92.4%,,6,,457.85,,159500000
,,93.3%,,6,,488.10,,181900000
160,160,92.5%,160,6,160,551.09,160,161100000
,,92.8%,,6,,629.91,,164400000
,,91.7%,,6,,561.72,,165900000
,,92.2%,,6,,629.91,,167300000
,,92.5%,,6,,495.56,,181900000
,,92.1%,,6,,495.79,,176600000
,,93.8%,,6,,528.43,,180800000
,,93.3%,,6,,568.79,,181900000
END,END,93.3%,END,6,END,503.33,END,182800000
,,93.9%,,6,,681.18,,184000000
,,91.8%,,6,,543.27,,178300000
,,93.7%,,6,,629.91,,181200000
,,93.0%,,6,,621.00,,184300000
,,94.1%,,6,,629.91,,195000000
,,92.9%,,6,,571.13,,196800000
,,90.7%,,6,,622.96,,197600000
,,90.6%,,6,,556.60,,198300000
