quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,1.4%,,6,,0.49,,0
,,0.6%,,2,,0.14,,0
,,0.6%,,1,,0.15,,0
,,1.8%,,1,,0.07,,0
,,0.5%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
10,10,0.4%,10,1,10,0.07,10,0
,,0.4%,,1,,0.07,,0
,,0.5%,,1,,0.08,,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
,,0.5%,,1,,0.08,,0
,,0.5%,,1,,0.07,,0
,,0.4%,,1,,0.08,,0
,,0.5%,,1,,0.08,,0
20,20,0.5%,20,1,20,0.07,20,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.09,,0
,,0.5%,,1,,0.08,,0
,,0.5%,,1,,0.08,,0
,,0.4%,,1,,0.08,,0
,,0.5%,,1,,0.07,,0
,,0.4%,,1,,0.08,,0
,,0.5%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
30,30,0.4%,30,1,30,0.07,30,0
,,0.2%,,1,,0.07,,0
,,1.4%,,1,,0.13,,0
,,0.6%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.08,,0
,,0.5%,,1,,0.08,,0
,,0.4%,,1,,0.08,,0
,,0.5%,,1,,0.08,,0
,,0.4%,,1,,0.08,,0
40,40,0.4%,40,1,40,0.08,40,0
,,0.4%,,1,,0.08,,0
,,0.5%,,1,,0.09,,0
,,0.6%,,1,,0.09,,0
,,3.2%,,1,,0.55,,72
,,1.4%,,1,,0.25,,0
,,0.6%,,1,,0.10,,0
,,0.5%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
,,0.6%,,1,,0.11,,0
50,50,0.5%,50,1,50,0.09,50,0
,,0.5%,,1,,0.09,,0
,,0.6%,,1,,0.10,,0
,,0.6%,,1,,0.11,,0
,,0.6%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
,,0.6%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
60,60,0.5%,60,1,60,0.09,60,0
,,0.5%,,1,,0.10,,0
,,0.3%,,1,,0.09,,0
,,0.8%,,1,,0.08,,0
,,0.7%,,1,,0.10,,0
,,0.5%,,1,,0.09,,0
,,0.6%,,1,,0.09,,0
,,1.2%,,1,,0.20,,0
,,0.5%,,1,,0.08,,0
,,0.5%,,1,,0.08,,0
70,70,0.4%,70,1,70,0.07,70,0
,,2.6%,,1,,0.41,,3600
,,1.6%,,1,,0.24,,3600
,,0.9%,,1,,0.16,,3600
,,0.9%,,1,,0.13,,3600
,,0.9%,,1,,0.15,,3600
,,0.8%,,1,,0.15,,3600
,,0.8%,,1,,0.14,,3600
,,,,,,,,
,,0.8%,,1,,0.14,,3600
80,80,0.8%,80,1,80,0.14,80,3600
,,0.9%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
,,0.9%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
,,0.9%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
90,90,0.8%,90,1,90,0.14,90,3600
,,0.9%,,1,,0.15,,3600
,,0.8%,,1,,0.14,,3600
,,0.5%,,1,,0.14,,3600
,,1.6%,,1,,0.20,,3600
,,2.1%,,1,,0.28,,3600
,,0.9%,,1,,0.14,,3600
,,0.9%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
,,0.8%,,1,,0.14,,3600
100,100,0.8%,100,1,100,0.14,100,3600
,,0.1%,,1,,0.02,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
110,110,0.0%,110,1,110,0.01,110,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
120,120,0.0%,120,1,120,0.00,120,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.1%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
130,130,0.0%,130,1,130,0.00,130,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
140,140,0.0%,140,1,140,0.01,140,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
150,150,0.0%,150,1,150,0.00,150,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
160,160,0.0%,160,1,160,0.00,160,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.2%,,1,,0.01,,0
170,170,0.0%,170,1,170,0.01,170,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.01,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
END,END,0.0%,END,1,END,0.00,END,0
,,0.0%,,1,,0.00,,0
,,END,,END,,END,,END
