quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.0%,,8,,0.02,,0
,,,,4,,0.00,,0
,,,,,,0.02,,0
60,60,,60,,60,0.00,60,0
,,,,,,,,
,,0.0%,,,,,,
,,0.0%,,8,,,,
,,0.0%,,8,,,,
,,,,8,,0.00,,0
,,,,6,,0.00,,0
,,,,,,0.00,,0
,,0.0%,,,,,,0
,,0.0%,,,,,,0
70,70,0.0%,70,4,70,,70,
,,0.0%,,4,,0.00,,
,,0.0%,,4,,0.00,,
,,0.0%,,4,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,14,,0.00,,0
,,,,6,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,,,0.00,,0
80,80,0.0%,80,10,80,0.00,80,0
,,0.0%,,8,,,,0
,,0.0%,,10,,0.02,,0
,,0.0%,,6,,0.00,,
,,0.0%,,18,,0.00,,0
,,0.1%,,38,,0.00,,0
,,0.1%,,20,,0.00,,0
,,0.0%,,14,,0.03,,0
,,0.0%,,6,,0.02,,0
,,0.0%,,14,,0.00,,0
90,90,0.0%,90,12,90,0.00,90,0
,,0.0%,,8,,0.00,,0
,,0.0%,,14,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,26,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.1%,,18,,0.01,,0
,,0.0%,,26,,0.00,,0
,,0.1%,,10,,0.01,,0
100,100,0.0%,100,30,100,0.02,100,0
,,0.0%,,18,,0.00,,0
,,0.0%,,28,,0.02,,0
,,0.0%,,18,,0.00,,0
,,0.0%,,12,,0.01,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,16,,0.01,,0
,,0.0%,,16,,0.00,,0
,,0.1%,,30,,0.00,,0
,,0.0%,,22,,0.01,,0
110,110,0.2%,110,10,110,0.03,110,0
,,0.0%,,32,,0.00,,0
,,0.0%,,16,,0.00,,0
,,0.0%,,18,,0.02,,0
,,0.0%,,10,,0.00,,0
