quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,0.7%,30,4,30,0.10,30,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.03,,0
,,0.2%,,4,,0.03,,0
,,0.2%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.01,,0
,,0.0%,,12,,0.00,,0
40,40,0.0%,40,12,40,0.00,40,0
,,0.0%,,12,,0.01,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.01,,0
50,50,0.0%,50,12,50,0.00,50,0
,,0.0%,,20,,0.02,,0
,,0.0%,,20,,0.02,,0
,,0.2%,,40,,0.03,,0
,,0.0%,,16,,0.00,,0
,,0.1%,,16,,0.02,,0
,,,,,,,,
,,0.1%,,52,,0.03,,0
,,,,,,,,
,,0.1%,,28,,0.03,,0
60,60,0.1%,60,28,60,0.01,60,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.1%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.1%,,28,,0.01,,0
70,70,0.0%,70,28,70,0.01,70,0
,,0.0%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.0%,,22,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,22,,0.01,,0
,,0.0%,,22,,0.00,,0
80,80,0.0%,80,24,80,0.01,80,0
,,0.0%,,60,,0.01,,0
,,0.0%,,24,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.6%,,60,,0.14,,0
,,0.1%,,28,,0.01,,0
,,0.1%,,32,,0.01,,0
,,0.1%,,32,,0.01,,0
,,0.1%,,32,,0.01,,0
,,0.1%,,32,,0.01,,0
90,90,0.1%,90,32,90,0.02,90,0
,,0.1%,,32,,0.01,,0
,,0.0%,,32,,0.01,,0
,,0.1%,,34,,0.01,,0
,,0.1%,,36,,0.01,,0
,,0.1%,,36,,0.01,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
