quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.7%,,800,,0.58,,0
,,0.6%,,1502,,2.20,,0
,,2.8%,,1502,,0.89,,0
,,0.6%,,200,,2.20,,0
,,0.9%,,200,,1.46,,0
,,0.6%,,200,,0.20,,0
,,0.5%,,200,,1.46,,0
,,4.1%,,200,,0.10,,0
10,10,4.1%,10,200,10,0.09,10,0
,,4.1%,,200,,0.09,,0
,,0.5%,,200,,2.20,,0
,,0.7%,,3004,,0.10,,0
,,0.6%,,200,,0.12,,0
,,4.1%,,3004,,0.10,,0
,,2.8%,,200,,0.11,,0
,,2.8%,,200,,0.09,,0
,,0.5%,,200,,0.09,,0
,,0.5%,,200,,0.09,,0
20,20,0.6%,20,200,20,0.09,20,0
,,0.6%,,200,,2.20,,0
,,0.6%,,200,,2.20,,0
,,0.6%,,200,,0.10,,0
,,4.1%,,200,,0.10,,0
,,0.6%,,200,,0.08,,0
,,4.1%,,200,,0.10,,0
,,0.6%,,200,,0.10,,0
,,0.6%,,200,,0.10,,0
,,0.3%,,200,,0.08,,0
30,30,0.6%,30,200,30,0.09,30,0
,,0.8%,,400,,0.09,,0
,,0.6%,,200,,0.08,,0
,,0.5%,,200,,0.08,,0
,,0.5%,,200,,0.10,,0
,,0.6%,,200,,0.09,,0
,,0.6%,,200,,0.09,,0
,,0.6%,,200,,0.10,,0
,,0.5%,,200,,0.10,,0
,,0.6%,,200,,0.09,,0
40,40,0.4%,40,200,40,0.09,40,0
,,0.6%,,200,,0.08,,0
,,0.5%,,200,,0.09,,0
,,0.6%,,200,,0.08,,0
,,0.5%,,200,,0.09,,0
,,0.5%,,200,,0.08,,0
,,0.6%,,200,,0.11,,0
,,0.5%,,200,,0.10,,0
,,0.6%,,200,,0.10,,0
,,0.5%,,200,,0.08,,0
50,50,0.6%,50,200,50,0.11,50,0
,,0.5%,,200,,0.11,,0
,,0.5%,,212,,0.08,,0
,,0.4%,,200,,0.09,,0
,,0.6%,,200,,0.08,,0
,,0.5%,,200,,0.11,,0
,,0.6%,,212,,0.08,,0
,,0.7%,,200,,0.21,,0
,,0.5%,,212,,1.46,,0
,,0.5%,,200,,0.08,,0
60,60,0.6%,60,212,60,0.11,60,0
,,0.6%,,200,,0.09,,0
,,0.5%,,200,,0.10,,0
,,4.9%,,200,,0.09,,0
,,0.8%,,1502,,0.10,,0
,,1.0%,,212,,0.11,,0
,,0.8%,,200,,0.09,,0
,,0.5%,,200,,0.09,,0
,,0.5%,,212,,0.08,,0
,,0.6%,,208,,0.11,,0
70,70,0.5%,70,212,70,0.09,70,0
,,4.9%,,3030,,0.10,,0
,,0.5%,,212,,0.09,,0
,,4.9%,,3030,,0.11,,0
,,0.7%,,212,,0.09,,0
,,4.9%,,212,,0.10,,0
,,0.6%,,214,,0.15,,0
,,0.8%,,222,,0.10,,0
,,0.5%,,228,,0.09,,0
,,4.9%,,342,,0.13,,0
80,80,0.7%,80,226,80,0.11,80,0
,,0.5%,,3030,,0.15,,0
,,4.9%,,226,,0.12,,0
,,0.6%,,226,,0.14,,0
,,0.5%,,3030,,0.12,,0
,,0.6%,,3030,,0.16,,0
,,0.8%,,3030,,0.84,,0
,,0.5%,,236,,0.12,,0
,,0.8%,,342,,0.15,,0
,,0.8%,,248,,0.15,,0
90,90,0.9%,90,320,90,0.14,90,0
,,0.4%,,254,,0.12,,0
,,2.9%,,3030,,0.13,,0
,,0.8%,,342,,0.15,,0
,,1.0%,,342,,0.16,,0
,,0.8%,,274,,0.16,,0
,,0.6%,,320,,0.14,,0
,,0.8%,,278,,0.19,,0
,,0.8%,,342,,0.15,,0
,,0.9%,,280,,0.15,,0
100,100,0.8%,100,342,100,0.16,100,0
,,0.8%,,320,,0.14,,0
,,0.9%,,342,,0.15,,0
,,1.0%,,320,,0.15,,0
,,1.0%,,330,,0.14,,0
,,0.9%,,342,,0.16,,0
,,0.9%,,320,,0.16,,0
,,0.9%,,338,,0.19,,0
,,1.0%,,342,,0.18,,0
,,1.2%,,320,,0.19,,0
110,110,1.3%,110,334,110,0.15,110,0
,,1.0%,,330,,0.16,,0
,,1.3%,,320,,0.15,,0
,,1.1%,,320,,0.19,,0
,,2.9%,,326,,0.20,,0
,,1.2%,,342,,0.16,,0
,,1.4%,,352,,0.16,,0
,,1.7%,,362,,0.16,,0
,,1.2%,,372,,0.19,,0
,,1.7%,,382,,0.20,,0
120,120,1.3%,120,396,120,0.19,120,0
,,1.7%,,408,,0.20,,0
,,1.7%,,492,,0.20,,0
,,1.2%,,848,,0.19,,0
,,1.2%,,424,,0.20,,0
,,1.2%,,492,,0.19,,0
,,2.6%,,492,,0.22,,0
,,1.1%,,492,,0.19,,0
,,2.6%,,430,,0.19,,0
,,2.6%,,444,,0.22,,0
130,130,2.6%,130,450,130,0.90,130,0
,,1.3%,,492,,0.22,,0
,,1.7%,,450,,0.22,,0
,,1.7%,,492,,0.19,,0
,,1.4%,,488,,0.20,,0
,,1.1%,,486,,0.20,,0
,,2.6%,,492,,0.20,,0
,,1.7%,,474,,0.20,,0
,,2.2%,,484,,0.22,,0
,,2.6%,,492,,0.20,,0
140,140,2.1%,140,992,140,0.22,140,0
,,1.7%,,512,,0.24,,0
,,1.7%,,526,,0.24,,0
,,1.3%,,516,,0.22,,0
,,1.7%,,542,,0.20,,0
,,2.6%,,552,,0.24,,0
,,1.4%,,1154,,0.22,,0
,,2.6%,,606,,0.24,,0
,,2.8%,,598,,0.20,,0
,,2.2%,,1194,,0.20,,0
150,150,2.1%,150,668,150,0.21,150,0
,,1.6%,,1194,,0.22,,0
,,2.5%,,1352,,0.30,,0
,,1.7%,,696,,0.30,,0
,,1.7%,,734,,0.30,,0
,,1.8%,,750,,0.22,,0
,,1.8%,,1194,,0.24,,0
,,2.2%,,1194,,0.30,,0
,,1.8%,,760,,0.22,,0
,,4.4%,,1352,,0.23,,0
160,160,2.3%,160,784,160,0.24,160,0
,,3.9%,,1604,,0.31,,0
,,2.5%,,822,,0.46,,0
,,2.8%,,1194,,0.31,,0
,,4.4%,,850,,0.33,,0
,,2.5%,,1352,,0.30,,0
