quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.7%,,4,,0.11,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,0
,,0.0%,,,,0.00,,0
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,8,,,,
,,,,,,0.00,,0
,,0.0%,,,,0.00,,
,,,,,,,,
,,,,,,,,
,,,,8,,,,
60,60,,60,8,60,,60,0
,,0.0%,,4,,0.00,,0
,,0.0%,,,,0.00,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,8,,,,
,,0.0%,,,,0.00,,0
,,,,,,0.00,,
70,70,,70,,70,,70,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,2,,,,
,,0.0%,,2,,,,0
,,0.0%,,,,0.00,,0
80,80,,80,,80,,80,
,,,,,,,,
,,,,4,,,,
,,0.0%,,2,,0.01,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,
,,0.0%,,4,,0.00,,
,,,,,,,,
90,90,,90,,90,,90,
,,,,,,,,
,,,,,,,,
,,,,,,,,0
,,,,,,,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,,,0.00,,
,,0.0%,,4,,0.00,,0
,,,,,,,,
,,0.0%,,2,,,,0
100,100,,100,4,100,0.00,100,
,,0.0%,,,,,,0
,,,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,,,0.00,,0
,,,,,,0.00,,
,,,,2,,,,
,,0.0%,,2,,,,0
,,0.0%,,,,0.00,,0
,,,,,,0.00,,
110,110,,110,,110,,110,
,,,,,,,,
,,,,,,,,
,,,,2,,,,
,,0.0%,,,,,,0
,,,,,,0.00,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
120,120,,120,,120,,120,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,2,,,,
,,0.0%,,,,,,
,,,,,,,,0
,,,,,,,,
,,,,2,,,,
,,0.0%,,,,0.00,,
130,130,,130,,130,,130,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
