quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.5%,,6,,0.27,,32
,,0.0%,,6,,0.00,,0
,,0.0%,,,,,,
,,,,,,,,
,,,,6,,0.00,,0
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,8,10,0.00,10,0
,,0.0%,,8,,,,
,,,,,,,,
,,,,,,0.00,,0
,,0.0%,,8,,,,0
,,,,,,,,
,,,,,,0.00,,
,,0.0%,,8,,0.00,,0
,,,,,,,,
,,0.0%,,2,,0.00,,0
20,20,0.0%,20,8,20,0.00,20,0
,,,,,,,,
,,,,,,,,
,,0.0%,,8,,0.00,,0
,,0.0%,,2,,0.00,,0
,,,,,,,,
,,0.0%,,8,,0.00,,0
,,0.0%,,8,,0.00,,0
,,,,,,,,
,,0.0%,,8,,0.00,,0
30,30,,30,,30,,30,
,,,,,,,,
,,0.0%,,8,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,,,,,
,,,,4,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,4,,,,
,,,,,,0.00,,0
40,40,0.0%,40,4,40,0.00,40,0
,,0.0%,,12,,0.00,,0
,,,,,,,,
,,,,,,,,
,,0.0%,,12,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,14,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
50,50,0.0%,50,8,50,0.00,50,0
,,,,,,,,
,,,,,,,,
,,0.0%,,10,,0.00,,0
,,,,,,,,
,,0.0%,,2,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,,,,,
,,,,2,,0.00,,0
,,0.0%,,10,,0.01,,0
60,60,0.0%,60,2,60,,60,
,,,,,,0.01,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,4,,0.00,,0
,,,,,,,,
,,0.0%,,8,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
70,70,0.0%,70,8,70,0.00,70,0
,,0.0%,,2,,0.00,,0
,,,,,,,,
,,0.0%,,10,,0.00,,0
,,,,,,,,
,,0.0%,,4,,0.00,,0
,,,,,,,,
,,0.0%,,10,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
80,80,0.0%,80,2,80,0.00,80,0
,,0.0%,,10,,0.00,,0
,,0.0%,,10,,0.00,,0
