quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,0.9%,,2,,0.13,,0
,,,,,,,,
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,,,0
,,,,,,0.00,,
,,0.0%,,6,,,,0
10,10,,10,6,10,,10,
,,,,,,0.00,,
,,0.0%,,,,0.00,,0
,,0.0%,,2,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,,,,,
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,,,2,,0.00,,
20,20,0.0%,20,,20,,20,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,,,4,,0.00,,0
30,30,0.0%,30,4,30,0.00,30,0
,,0.0%,,2,,,,0
,,0.0%,,,,0.00,,
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,,,,,0
,,0.0%,,4,,0.00,,
40,40,0.0%,40,8,40,0.00,40,0
,,0.0%,,4,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,,,,,
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
50,50,0.0%,50,6,50,,50,
,,0.0%,,,,0.00,,0
,,,,6,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,2,,0.00,,
,,0.0%,,,,,,0
,,,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,
,,0.0%,,,,,,0
60,60,0.0%,60,6,60,0.00,60,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
70,70,0.0%,70,8,70,0.00,70,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,,,,,0
,,,,12,,0.00,,
,,0.0%,,4,,0.00,,0
,,,,,,,,0
80,80,0.0%,80,6,80,0.00,80,
,,,,2,,,,0
,,0.0%,,,,0.00,,
,,0.0%,,2,,,,0
,,0.0%,,,,0.00,,
,,0.0%,,2,,0.00,,0
,,0.0%,,10,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,10,,0.00,,0
90,90,0.0%,90,4,90,0.00,90,0
,,0.0%,,8,,0.00,,0
,,0.0%,,4,,0.00,,0
