quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,3.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
70,70,0.0%,70,1,70,0.00,70,0
,,0.0%,,3,,0.00,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,1,,0.00,,0
,,0.0%,,1,,0.00,,0
80,80,0.0%,80,1,80,0.01,80,0
,,0.0%,,1,,0.00,,0
,,0.0%,,,,0.01,,
,,,,,,0.00,,
,,,,,,0.00,,
,,,,2,,,,0
,,0.0%,,2,,,,0
,,0.0%,,2,,,,0
,,0.0%,,2,,0.01,,0
,,0.0%,,2,,0.01,,0
90,90,0.0%,90,2,90,0.01,90,0
,,0.1%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.1%,,2,,0.01,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
100,100,0.0%,100,2,100,0.00,100,0
,,0.0%,,2,,0.01,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.1%,,2,,0.01,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,3,,0.01,,0
,,0.0%,,3,,0.00,,0
110,110,0.0%,110,3,110,0.00,110,0
,,0.0%,,3,,0.00,,0
,,0.0%,,3,,0.01,,0
,,0.0%,,3,,0.00,,0
,,0.0%,,3,,0.00,,0
