quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,3.5%,,6,,327.23,,900000
,,18.3%,,3,,1.80,,476300
,,6.8%,,1,,327.23,,9200000
,,8.6%,,6,,1.42,,1000000
,,8.5%,,1,,1.64,,1100000
,,5.3%,,1,,238.52,,1200000
,,60.2%,,1,,0.91,,1600000
,,24.1%,,1,,332.45,,1700000
10,10,24.1%,10,6,10,26.72,10,7000000
,,12.5%,,1,,332.45,,1700000
,,14.2%,,1,,1.52,,7000000
,,90.0%,,1,,1.63,,1900000
,,14.0%,,1,,195.10,,1900000
,,15.4%,,6,,195.10,,2000000
,,7.7%,,6,,11.50,,4200000
,,69.6%,,1,,1.99,,2200000
,,41.1%,,6,,2.10,,2400000
,,86.2%,,6,,2.14,,4900000
20,20,86.2%,20,1,20,2.21,20,2500000
,,50.2%,,1,,298.64,,3000000
,,29.5%,,1,,298.64,,9200000
,,17.5%,,1,,5.38,,3100000
,,70.9%,,1,,2.46,,3100000
,,35.4%,,6,,5.38,,7000000
,,24.1%,,1,,232.56,,7000000
,,25.4%,,1,,2.74,,3600000
,,24.1%,,6,,232.56,,9200000
,,26.0%,,6,,18.69,,9200000
30,30,52.9%,30,1,30,3.51,30,3800000
,,48.6%,,1,,3.60,,4099999.9999999995
,,55.3%,,6,,6.29,,9200000
,,45.1%,,1,,4.93,,9200000
,,34.3%,,6,,7.33,,4200000
,,55.3%,,6,,195.10,,8500000
,,54.4%,,2,,195.10,,4200000
,,22.3%,,6,,19.47,,4600000
,,65.9%,,6,,3.56,,11100000
,,65.9%,,1,,238.52,,9200000
40,40,69.3%,40,2,40,4.21,40,9200000
,,25.7%,,1,,238.52,,11100000
,,75.4%,,6,,26.72,,4500000
,,79.3%,,1,,4.27,,9200000
,,65.1%,,6,,14.44,,9200000
,,65.9%,,1,,6.13,,9300000
,,65.9%,,1,,5.38,,9400000
,,65.9%,,1,,9.09,,4700000
,,65.9%,,1,,5.38,,9900000
,,43.7%,,6,,14.22,,10000000
50,50,63.1%,50,1,50,26.72,50,11100000
,,79.8%,,1,,5.35,,11100000
,,55.8%,,6,,238.52,,11100000
,,65.9%,,6,,5.75,,11100000
,,66.0%,,1,,5.42,,5200000
,,69.6%,,1,,26.72,,11100000
,,65.9%,,1,,238.52,,10600000
,,80.4%,,1,,6.67,,10700000
,,82.4%,,1,,26.72,,11100000
,,80.9%,,1,,26.72,,5500000
60,60,82.4%,60,1,60,21.83,60,11400000
,,69.9%,,1,,6.60,,11300000
,,57.3%,,6,,18.07,,16900000
,,82.4%,,2,,12.69,,16700000
,,76.0%,,6,,26.72,,11400000
,,82.4%,,1,,18.42,,11600000
,,82.4%,,2,,18.42,,11600000
,,77.9%,,1,,26.72,,11700000
,,48.0%,,1,,24.85,,12000000
,,82.4%,,2,,15.41,,33600000
70,70,81.5%,70,2,70,7.38,70,18100000
,,86.1%,,1,,18.42,,18100000
,,82.4%,,2,,18.13,,33600000
,,82.4%,,2,,18.42,,24200000
,,54.9%,,2,,18.42,,33600000
,,86.1%,,1,,14.91,,18100000
,,68.7%,,2,,18.42,,33600000
,,80.4%,,2,,18.18,,18500000
,,84.4%,,2,,18.42,,18600000
,,86.1%,,2,,27.84,,33600000
80,80,86.1%,80,2,80,25.27,80,18700000
,,80.4%,,2,,15.86,,25000000
,,86.1%,,1,,18.42,,43900000
,,70.1%,,1,,17.80,,33600000
,,80.4%,,2,,26.57,,33600000
,,80.4%,,2,,32.94,,43900000
,,81.8%,,1,,35.24,,43900000
,,86.1%,,2,,32.73,,43900000
,,72.4%,,2,,25.13,,33600000
,,80.4%,,2,,27.96,,48700000
90,90,86.1%,90,2,90,33.42,90,43900000
,,71.8%,,3,,37.59,,40300000
,,88.7%,,2,,36.88,,48700000
,,80.4%,,3,,36.30,,39900000
,,71.2%,,3,,46.87,,43900000
,,80.4%,,3,,50.21,,48700000
,,86.1%,,2,,47.90,,40200000
,,86.0%,,2,,61.72,,53300000
,,80.0%,,3,,58.34,,53300000
,,79.6%,,2,,47.05,,40500000
100,100,80.4%,100,3,100,58.33,100,48700000
,,81.0%,,3,,63.53,,43900000
,,71.9%,,3,,81.94,,53300000
,,81.2%,,3,,94.38,,48700000
,,79.9%,,3,,78.99,,41900000
,,81.2%,,3,,99.99,,48700000
,,81.6%,,3,,84.18,,42800000
,,81.9%,,6,,96.43,,43500000
,,79.6%,,3,,134.60,,53300000
,,74.1%,,3,,83.86,,53300000
110,110,82.7%,110,3,110,134.60,110,53300000
,,83.7%,,3,,99.98,,42600000
,,82.3%,,6,,134.60,,43100000
,,82.7%,,6,,92.08,,62100000
,,81.6%,,6,,106.98,,43900000
,,82.7%,,3,,113.34,,48700000
,,82.7%,,4,,134.60,,62100000
,,83.2%,,4,,134.60,,45600000
,,73.5%,,6,,97.83,,62100000
,,82.7%,,4,,110.10,,47800000
120,120,83.2%,120,4,120,134.60,120,53300000
,,82.7%,,6,,107.44,,67400000
,,83.5%,,4,,108.86,,48400000
,,83.4%,,6,,120.24,,48300000
,,82.7%,,4,,134.60,,62100000
,,83.6%,,6,,124.20,,48500000
,,82.1%,,6,,119.71,,62100000
,,79.2%,,6,,115.21,,48700000
,,85.1%,,6,,123.85,,67400000
,,80.3%,,6,,127.69,,67400000
130,130,85.2%,130,6,130,134.60,130,49700000
,,82.7%,,6,,150.98,,62100000
,,79.4%,,6,,126.09,,42500000
,,84.4%,,6,,232.06,,67400000
,,79.9%,,6,,145.42,,52600000
,,80.3%,,6,,144.19,,77300000
,,85.0%,,6,,159.18,,53300000
,,84.6%,,6,,154.40,,67400000
,,80.3%,,6,,232.06,,54500000
,,80.3%,,6,,151.50,,62100000
140,140,87.1%,140,6,140,158.57,140,55800000
,,81.0%,,6,,232.06,,67400000
,,84.4%,,6,,163.36,,77300000
,,80.3%,,6,,232.06,,56300000
,,82.7%,,6,,159.51,,77300000
,,84.7%,,6,,232.06,,57000000
,,84.4%,,6,,170.15,,58400000
,,84.4%,,6,,165.13,,77300000
,,85.3%,,5,,174.31,,58900000
,,86.9%,,6,,183.38,,67400000
150,150,84.4%,150,6,150,174.35,150,59700000
,,87.5%,,6,,192.55,,77300000
,,86.1%,,6,,232.06,,60100000
,,80.3%,,6,,188.66,,60400000
,,80.5%,,6,,186.21,,62100000
,,86.9%,,6,,219.56,,63000000
,,90.0%,,6,,232.56,,63800000
,,87.9%,,6,,232.06,,94500000
,,81.6%,,6,,190.67,,64500000
,,80.3%,,6,,176.53,,77300000
160,160,82.8%,160,6,160,194.98,160,66599999.99999999
,,88.0%,,6,,195.10,,67400000
,,84.4%,,6,,231.83,,77300000
,,88.4%,,6,,232.56,,68000000
,,83.9%,,6,,232.56,,94500000
,,88.4%,,6,,210.54,,68500000
,,90.0%,,6,,202.97,,94500000
,,84.4%,,6,,226.09,,69200000
,,90.0%,,6,,229.58,,70400000
,,84.0%,,6,,215.10,,94500000
170,170,86.6%,170,6,170,232.06,170,71400000
,,81.0%,,6,,195.10,,73100000
,,88.9%,,6,,195.10,,94500000
,,90.0%,,6,,212.84,,73100000
,,80.3%,,6,,232.56,,74000000
,,90.0%,,6,,232.56,,77300000
,,87.1%,,6,,211.63,,77400000
,,88.7%,,6,,362.68,,77700000
,,84.5%,,6,,212.16,,77800000
,,86.2%,,6,,217.50,,77600000
180,180,88.5%,180,6,180,245.59,180,94500000
,,88.0%,,6,,225.88,,82200000
,,84.4%,,6,,238.52,,94500000
,,90.6%,,6,,239.89,,83400000
,,90.4%,,6,,218.69,,83600000
,,88.4%,,6,,404.25,,85000000
,,83.8%,,6,,217.27,,85800000
,,89.7%,,6,,238.52,,87900000
,,90.0%,,6,,231.91,,88400000
,,90.0%,,6,,229.32,,88800000
190,190,86.2%,190,6,190,233.40,190,89500000
,,86.2%,,6,,234.39,,89100000
,,54.3%,,6,,238.52,,90000000
,,87.6%,,6,,239.79,,91000000
,,83.7%,,6,,244.33,,92500000
