totalPercent,calls,totalTime,gcMemory
,,,
3.50%,6,1.8,700000
8.40%,3,1.42,900000
18.30%,1,1.64,476300
6.70%,1,0.91,600000
6.00%,1,1.02,700000
6.80%,1,1.18,800000
8.60%,1,1.39,1000000
8.50%,1,1.52,1100000
5.30%,1,1.63,1200000
60.20%,1,11.5,1200000
25.70%,1,1.99,1300000
12.50%,1,2.1,1400000
12.20%,1,2.14,1600000
14.20%,1,2.21,1700000
14.00%,1,2.48,1700000
15.40%,1,2.46,1900000
14.40%,1,2.57,1900000
7.70%,1,2.74,2000000
69.60%,2,18.69,4200000
41.10%,1,3.51,2000000
20.90%,1,3.71,2200000
23.00%,1,3.6,2400000
22.00%,1,3.79,2400000
50.20%,1,13.29,2400000
29.50%,2,6.29,4900000
17.50%,1,4.93,2500000
47.60%,2,7.33,5400000
70.90%,1,19.47,2800000
35.40%,1,3.56,3000000
23.80%,1,3.99,3000000
25.40%,1,4.21,3100000
24.10%,1,4.27,3100000
56.40%,1,14.44,3300000
26.00%,1,6.13,3500000
52.90%,2,9.09,7000000
48.60%,1,5.38,3600000
55.30%,1,14.22,3700000
45.10%,1,5.35,3700000
34.20%,1,5.75,3800000
34.30%,1,5.42,4000000
55.30%,1,14.13,4100000
54.40%,1,6.67,4200000
22.30%,1,6.26,4300000
72.10%,2,21.83,8500000
53.70%,1,6.6,4200000
41.00%,1,6.84,4400000
62.70%,1,18.07,4600000
69.30%,2,12.69,9200000
76.80%,1,22.58,4500000
25.70%,2,11.49,9200000
75.40%,2,26.72,9200000
66.50%,2,13.12,9300000
79.30%,2,24.85,9400000
65.10%,2,13.88,9300000
43.70%,1,17.54,4700000
63.10%,2,15.41,9900000
79.80%,2,23.5,10000000
55.80%,1,7.38,5000000
66.00%,1,18.13,5200000
69.60%,2,14.91,10600000
48.50%,1,18.18,5300000
65.90%,2,15.9,10800000
80.40%,2,27.84,10600000
80.90%,2,25.27,10700000
69.90%,2,15.86,11100000
48.30%,1,18.42,5500000
67.90%,2,17.8,11500000
57.30%,2,26.57,11400000
81.30%,3,32.94,16800000
60.70%,2,27.37,11300000
76.00%,3,35.24,16900000
83.30%,3,32.73,16700000
77.90%,2,25.8,11400000
48.00%,2,17.47,11600000
73.90%,2,25.13,11500000
81.50%,2,27.96,11600000
82.40%,2,31.36,11700000
81.60%,3,33.42,17500000
54.90%,2,28.69,12000000
68.70%,3,37.59,18100000
