quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.6%,,1,,0.38,,0
,,0.9%,,6,,0.31,,0
,,0.6%,,1,,0.10,,0
,,0.5%,,3,,0.10,,0
,,0.5%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
,,0.2%,,1,,0.09,,0
,,3.5%,,1,,0.09,,0
10,10,0.5%,10,1,10,0.09,10,0
,,0.5%,,1,,0.08,,0
,,0.6%,,1,,0.19,,0
,,0.5%,,1,,0.09,,0
,,0.6%,,2,,0.09,,0
,,0.5%,,1,,0.10,,0
,,0.6%,,1,,0.10,,0
,,0.2%,,1,,0.10,,0
,,0.2%,,1,,0.09,,0
,,0.2%,,1,,0.10,,0
20,20,5.9%,20,1,20,0.09,20,0
,,0.6%,,1,,0.31,,0
,,0.6%,,1,,0.10,,0
,,0.6%,,2,,0.10,,0
,,0.5%,,2,,0.10,,0
,,0.6%,,2,,0.09,,0
,,0.5%,,1,,0.09,,0
,,0.6%,,1,,0.10,,0
,,0.5%,,1,,0.10,,0
,,0.5%,,1,,0.09,,0
30,30,0.1%,30,1,30,0.21,30,0
,,1.0%,,1,,0.10,,0
,,1.6%,,1,,0.21,,0
,,0.5%,,1,,0.21,,0
,,0.5%,,1,,0.11,,0
,,0.5%,,2,,0.09,,0
,,0.6%,,1,,0.09,,0
,,0.5%,,1,,0.10,,72
,,0.5%,,1,,0.10,,0
,,0.2%,,1,,0.63,,0
40,40,2.5%,40,1,40,0.09,40,0
,,4.2%,,1,,0.09,,0
,,1.3%,,1,,0.22,,0
,,0.8%,,2,,0.63,,0
,,0.7%,,1,,0.21,,0
,,0.6%,,1,,0.14,,0
,,0.5%,,1,,0.12,,0
,,0.2%,,1,,0.11,,0
,,0.8%,,1,,0.11,,0
,,4.6%,,1,,0.10,,0
50,50,0.7%,50,1,50,0.24,50,0
,,0.8%,,2,,0.12,,0
,,0.6%,,1,,0.13,,0
,,0.8%,,1,,0.11,,10700
,,0.7%,,1,,0.12,,0
,,1.1%,,1,,0.12,,10700
,,0.7%,,1,,0.11,,0
,,1.1%,,1,,0.12,,0
,,0.8%,,1,,0.12,,0
,,0.3%,,1,,0.28,,0
60,60,5.1%,60,1,60,0.19,60,0
,,0.8%,,1,,0.13,,0
,,0.3%,,1,,0.19,,0
,,0.9%,,2,,0.12,,10700
,,1.1%,,1,,0.15,,3600
,,1.4%,,1,,0.19,,3600
,,0.7%,,1,,0.23,,10700
,,0.3%,,1,,0.12,,10700
,,9.7%,,1,,0.59,,10700
,,1.5%,,1,,0.19,,10700
70,70,1.1%,70,1,70,0.24,70,14200
,,1.1%,,2,,0.17,,14200
,,1.1%,,1,,0.19,,21300
,,0.6%,,1,,0.28,,49800
,,1.1%,,1,,0.19,,42700
,,1.2%,,1,,0.19,,21300
,,0.4%,,1,,0.19,,21300
,,7.2%,,1,,0.19,,35500
,,1.1%,,1,,0.39,,49800
,,0.6%,,1,,0.31,,42700
80,80,1.3%,80,2,80,0.20,80,42700
,,1.2%,,1,,0.20,,49800
,,1.2%,,1,,0.21,,49800
,,1.4%,,1,,0.21,,56900
,,1.3%,,1,,0.23,,49800
,,1.3%,,1,,0.31,,49800
,,0.6%,,1,,0.22,,49800
,,4.6%,,1,,0.23,,49800
,,1.4%,,1,,0.25,,78200
,,1.3%,,1,,0.28,,35500
90,90,1.6%,90,1,90,0.22,90,35500
,,1.2%,,1,,0.22,,49800
,,0.9%,,1,,0.31,,28400
,,1.3%,,1,,0.22,,35500
,,13.9%,,1,,0.34,,28400
,,1.2%,,1,,0.89,,28400
,,0.5%,,2,,0.22,,28400
,,8.6%,,2,,0.21,,
,,3.2%,,1,,0.53,,28400
,,1.2%,,2,,0.23,,28400
100,100,1.7%,100,2,100,0.52,100,28400
,,,,1,,0.21,,64000
,,1.5%,,1,,0.32,,35500
,,1.2%,,1,,,,35500
,,0.5%,,,,0.25,,35500
,,10.3%,,1,,0.20,,35500
,,1.3%,,1,,0.20,,35500
,,1.2%,,1,,0.54,,35500
,,1.3%,,2,,0.21,,21300
,,1.2%,,1,,0.21,,35500
110,110,1.3%,110,1,110,0.21,110,21300
,,1.2%,,1,,0.21,,28400
,,1.2%,,1,,0.20,,56900
,,1.2%,,1,,0.21,,21300
,,0.5%,,1,,0.61,,28400
,,8.2%,,1,,0.22,,28400
,,1.2%,,1,,0.61,,21300
,,1.2%,,1,,0.46,,21300
,,1.2%,,2,,0.20,,21300
,,1.3%,,1,,0.19,,64000
120,120,1.1%,120,1,120,0.22,120,28400
,,0.7%,,1,,0.20,,28400
,,0.4%,,1,,0.20,,28400
,,11.6%,,1,,0.20,,28400
,,1.2%,,1,,0.23,,28400
,,1.2%,,1,,0.61,,28400
,,1.2%,,3,,0.21,,28400
,,1.2%,,1,,0.20,,28400
,,1.3%,,1,,0.22,,28400
,,1.1%,,1,,0.19,,28400
130,130,1.3%,130,1,130,0.21,130,28400
,,1.2%,,1,,0.20,,28400
,,5.4%,,1,,0.20,,28400
,,1.1%,,1,,0.20,,28400
,,1.5%,,1,,0.20,,28400
,,1.2%,,1,,0.35,,28400
,,1.2%,,1,,0.23,,28400
,,1.4%,,1,,0.20,,56900
,,1.3%,,1,,0.21,,28400
,,2.2%,,1,,0.24,,28400
140,140,0.5%,140,1,140,0.20,140,28400
,,9.4%,,1,,0.20,,28400
,,1.2%,,1,,0.22,,28400
,,2.2%,,2,,0.20,,28400
,,1.3%,,1,,0.20,,28400
,,1.2%,,1,,0.20,,28400
,,1.3%,,1,,0.21,,28400
,,1.2%,,1,,0.21,,85300
,,1.2%,,1,,0.20,,28400
,,1.2%,,1,,0.20,,28400
150,150,0.3%,150,1,150,0.20,150,28400
,,2.2%,,1,,0.20,,28400
,,5.0%,,1,,0.20,,28400
,,1.1%,,1,,0.49,,28400
,,1.2%,,3,,0.25,,56900
,,0.5%,,1,,0.19,,28400
,,1.2%,,1,,0.20,,28400
,,1.3%,,1,,0.20,,28400
,,0.4%,,1,,0.28,,28400
,,5.0%,,1,,0.18,,28400
160,160,1.3%,160,1,160,0.30,160,28400
,,0.5%,,1,,0.24,,28400
,,1.1%,,2,,0.21,,28400
,,1.2%,,1,,0.19,,28400
,,1.1%,,1,,0.20,,56900
,,1.2%,,1,,0.20,,28400
,,1.2%,,1,,0.20,,28400
,,0.5%,,1,,0.24,,28400
,,9.6%,,1,,0.20,,28400
,,1.2%,,1,,0.21,,28400
170,170,1.4%,170,1,170,0.51,170,28400
,,1.3%,,2,,0.20,,28400
,,1.5%,,1,,0.22,,21300
,,1.1%,,1,,0.24,,21300
,,1.5%,,1,,0.20,,21300
,,1.2%,,1,,0.20,,21300
,,0.4%,,1,,0.20,,21300
,,1.4%,,1,,0.20,,28400
,,5.5%,,1,,0.19,,21300
,,1.2%,,1,,0.33,,28400
180,180,0.6%,180,1,180,0.20,180,28400
,,1.6%,,1,,0.20,,28400
,,5.5%,,1,,0.33,,28400
,,1.4%,,1,,0.20,,28400
,,1.1%,,1,,0.36,,17800
,,1.1%,,2,,0.21,,28400
,,0.5%,,1,,0.20,,28400
,,5.5%,,1,,0.20,,28400
,,1.2%,,1,,0.35,,28400
,,1.3%,,1,,0.20,,28400
190,190,1.4%,190,1,190,0.21,190,28400
,,1.2%,,1,,0.19,,46200
,,1.2%,,1,,0.24,,21300
,,1.2%,,1,,0.21,,17800
,,1.6%,,1,,0.20,,17800
,,1.1%,,1,,0.21,,17800
,,0.5%,,1,,0.27,,17800
,,9.6%,,1,,0.19,,17800
,,1.2%,,1,,0.52,,17800
,,1.1%,,2,,0.20,,14200
200,200,1.1%,200,1,200,0.19,200,17800
,,1.2%,,1,,0.19,,10700
,,1.1%,,1,,0.20,,21300
,,1.1%,,1,,0.19,,10700
,,1.1%,,1,,0.19,,10700
,,0.4%,,1,,0.19,,10700
,,1.1%,,1,,0.17,,10700
,,1.1%,,1,,0.18,,10700
,,1.1%,,1,,0.64,,14200
,,0.5%,,2,,0.19,,14200
210,210,1.1%,210,1,210,0.18,210,28400
,,1.1%,,1,,0.19,,14200
,,9.9%,,1,,0.24,,14200
,,0.4%,,1,,0.73,,14200
,,4.5%,,1,,0.19,,7100
,,0.9%,,1,,0.34,,14200
,,1.1%,,1,,0.17,,14200
