quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.1%,,120,,0.07,,0
,,0.5%,,60,,0.14,,0
,,0.7%,,20,,0.08,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
10,10,0.0%,10,20,10,0.01,10,0
,,0.1%,,20,,0.02,,0
,,0.3%,,20,,0.06,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.02,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.02,,0
,,0.1%,,20,,0.02,,0
,,0.0%,,20,,0.01,,0
20,20,0.0%,20,20,20,0.01,20,0
,,0.1%,,20,,0.02,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.03,,0
30,30,0.4%,30,40,30,0.03,30,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
40,40,0.1%,40,20,40,0.02,40,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
50,50,0.0%,50,20,50,0.00,50,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.00,,0
,,,,,,,,
,,0.4%,,40,,0.09,,0
60,60,0.1%,60,20,60,0.01,60,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.00,,0
,,0.0%,,20,,0.01,,0
,,0.1%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.0%,,20,,0.01,,0
,,0.2%,,24,,0.03,,0
,,0.0%,,24,,0.01,,0
,,0.1%,,28,,0.01,,0
70,70,0.0%,70,24,70,0.01,70,0
,,0.0%,,24,,0.01,,0
,,0.0%,,28,,0.01,,0
,,0.2%,,32,,0.03,,0
,,0.1%,,32,,0.01,,0
,,0.0%,,32,,0.01,,0
,,0.1%,,32,,0.01,,0
,,0.0%,,36,,0.01,,0
,,0.1%,,40,,0.01,,0
,,0.0%,,36,,0.01,,0
80,80,0.1%,80,36,80,0.01,80,0
,,0.0%,,40,,0.01,,0
,,0.1%,,44,,0.02,,0
,,0.1%,,48,,0.01,,0
,,0.1%,,52,,0.02,,0
,,0.1%,,56,,0.02,,0
,,0.1%,,64,,0.03,,0
,,0.1%,,76,,0.03,,0
,,0.1%,,80,,0.03,,0
,,0.2%,,80,,0.05,,0
90,90,0.4%,90,78,90,0.04,90,0
,,0.1%,,76,,0.03,,0
,,0.2%,,80,,0.03,,0
,,0.2%,,82,,0.04,,0
,,0.2%,,82,,0.03,,0
,,0.6%,,88,,0.10,,0
,,0.3%,,92,,0.05,,0
,,0.3%,,98,,0.05,,0
,,0.2%,,100,,0.04,,0
,,0.2%,,102,,0.04,,0
100,100,0.5%,100,102,100,0.09,100,0
,,0.3%,,112,,0.06,,0
,,0.6%,,112,,0.11,,0
,,0.6%,,134,,0.10,,0
,,0.4%,,138,,0.07,,0
,,0.3%,,146,,0.06,,0
,,0.4%,,138,,0.07,,0
,,0.5%,,154,,0.08,,0
,,0.4%,,168,,0.07,,0
,,0.4%,,164,,0.08,,0
110,110,0.4%,110,160,110,0.07,110,0
,,0.5%,,152,,0.09,,0
,,1.0%,,144,,0.22,,0
,,0.5%,,146,,0.07,,0
,,0.6%,,146,,0.09,,0
,,0.4%,,144,,0.08,,0
,,0.4%,,152,,0.06,,0
,,0.4%,,162,,0.07,,0
,,0.2%,,176,,0.07,,0
,,0.9%,,176,,0.25,,0
120,120,1.7%,120,416,120,0.24,120,0
,,1.0%,,216,,0.11,,0
,,0.6%,,228,,0.11,,0
,,0.7%,,228,,0.12,,0
,,0.6%,,234,,0.10,,0
,,0.7%,,252,,0.12,,0
,,0.7%,,264,,0.12,,0
,,1.0%,,264,,0.16,,0
,,0.7%,,278,,0.12,,0
,,0.7%,,284,,0.12,,0
130,130,0.8%,130,282,130,0.13,130,0
,,0.9%,,270,,0.15,,0
,,0.6%,,266,,0.11,,0
,,0.8%,,260,,0.12,,0
,,0.6%,,258,,0.11,,0
,,0.8%,,260,,0.13,,0
,,0.7%,,254,,0.11,,0
,,0.7%,,262,,0.12,,0
,,0.7%,,268,,0.12,,0
,,0.9%,,288,,0.15,,0
140,140,0.9%,140,296,140,0.14,140,0
,,0.8%,,298,,0.14,,0
,,1.1%,,302,,0.17,,0
,,0.9%,,306,,0.16,,0
,,0.8%,,298,,0.14,,0
,,0.8%,,310,,0.14,,0
,,1.0%,,306,,0.15,,0
,,0.8%,,316,,0.15,,0
,,0.5%,,324,,0.15,,0
,,2.2%,,316,,0.53,,0
150,150,1.9%,150,318,150,0.27,150,0
,,1.2%,,320,,0.15,,0
,,1.0%,,326,,0.17,,0
,,0.9%,,328,,0.16,,0
,,1.0%,,334,,0.15,,0
,,0.8%,,326,,0.14,,0
,,0.5%,,322,,0.21,,0
,,2.8%,,688,,0.37,,0
,,1.2%,,360,,0.17,,0
,,1.6%,,382,,0.26,,0
160,160,1.4%,160,412,160,0.24,160,0
,,1.3%,,430,,0.24,,0
,,1.4%,,442,,0.22,,0
,,1.8%,,454,,0.29,,0
,,2.4%,,476,,0.41,,0
,,1.5%,,502,,0.24,,0
,,1.6%,,532,,0.28,,0
,,1.9%,,548,,0.32,,0
,,2.0%,,578,,0.33,,0
,,1.9%,,590,,0.31,,0
170,170,3.5%,170,598,170,0.79,170,0
,,4.1%,,598,,0.55,,0
,,2.4%,,616,,0.34,,0
,,2.9%,,630,,0.52,,0
,,2.1%,,686,,0.35,,0
,,2.8%,,686,,0.46,,0
,,2.4%,,718,,0.39,,0
,,1.2%,,728,,0.37,,0
,,3.8%,,1486,,1.16,,0
,,3.1%,,752,,0.38,,0
180,180,2.0%,180,758,180,0.35,180,0
,,2.3%,,766,,0.37,,0
,,2.3%,,792,,0.38,,0
,,2.8%,,806,,0.47,,0
,,2.2%,,792,,0.37,,0
,,1.4%,,812,,0.49,,0
,,4.3%,,1638,,1.06,,0
,,4.1%,,1568,,0.82,,0
,,3.2%,,794,,0.40,,0
