quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.2%,,240,,0.14,,0
,,0.1%,,120,,4.02,,0
,,0.1%,,7302,,0.10,,0
,,0.1%,,80,,4.02,,0
,,3.5%,,7302,,0.05,,0
,,3.5%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
10,10,0.1%,10,40,10,0.02,10,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,4.30,,0
,,0.1%,,40,,4.30,,0
20,20,0.1%,20,40,20,0.02,20,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.4%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.4%,,40,,0.02,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.01,,0
30,30,0.1%,30,40,30,0.02,30,0
,,0.0%,,40,,0.02,,0
,,0.2%,,40,,0.01,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,80,,0.03,,0
,,0.1%,,40,,0.02,,0
,,0.4%,,40,,0.03,,0
,,0.1%,,40,,0.03,,0
,,0.4%,,40,,0.03,,0
,,0.2%,,40,,0.02,,0
40,40,0.1%,40,40,40,0.01,40,0
,,0.0%,,40,,0.02,,0
,,0.1%,,40,,0.01,,0
,,0.1%,,40,,0.02,,0
,,0.1%,,40,,0.03,,0
,,0.0%,,40,,0.01,,0
,,0.1%,,40,,0.01,,0
,,0.1%,,,,0.01,,0
,,0.0%,,40,,0.01,,0
,,0.1%,,40,,0.01,,0
50,50,0.5%,50,40,50,0.09,50,0
,,0.1%,,40,,0.01,,0
,,0.0%,,40,,0.02,,0
,,,,40,,,,
,,0.0%,,40,,0.02,,0
,,0.1%,,40,,0.01,,0
,,0.0%,,40,,0.01,,0
,,0.1%,,46,,0.01,,0
,,0.1%,,40,,0.03,,0
,,0.1%,,80,,0.01,,0
60,60,0.1%,60,40,60,0.01,60,0
,,0.1%,,40,,0.01,,0
,,0.1%,,46,,0.02,,0
,,0.1%,,40,,0.01,,0
,,0.0%,,40,,0.04,,0
,,0.2%,,46,,0.02,,0
,,0.1%,,40,,0.01,,0
,,0.1%,,40,,0.02,,0
,,0.0%,,40,,0.01,,0
,,0.1%,,46,,0.01,,0
70,70,0.1%,70,46,70,0.02,70,0
,,0.0%,,46,,0.01,,0
,,0.0%,,46,,0.01,,0
,,0.1%,,64,,0.02,,0
,,0.1%,,54,,0.07,,0
,,0.1%,,54,,0.01,,0
,,0.1%,,56,,0.02,,0
,,0.2%,,56,,0.02,,0
,,0.1%,,60,,0.03,,0
,,0.1%,,64,,0.03,,0
80,80,0.3%,80,60,80,0.02,80,0
,,0.1%,,64,,0.04,,0
,,0.3%,,56,,0.04,,0
,,0.2%,,56,,0.02,,0
,,0.2%,,60,,0.03,,0
,,0.1%,,64,,0.02,,0
,,0.2%,,68,,0.04,,0
,,0.1%,,70,,0.03,,0
,,0.1%,,76,,0.04,,0
,,0.2%,,82,,0.04,,0
90,90,0.2%,90,92,90,0.02,90,0
,,0.2%,,114,,0.04,,0
,,0.2%,,98,,0.03,,0
,,0.1%,,98,,0.03,,0
,,0.2%,,94,,0.06,,0
,,0.3%,,114,,0.11,,0
,,0.2%,,100,,0.04,,0
,,0.7%,,102,,0.06,,0
,,0.3%,,104,,0.05,,0
,,0.3%,,114,,0.18,,0
100,100,0.3%,100,110,100,0.07,100,0
,,0.6%,,114,,0.05,,0
,,0.3%,,116,,0.06,,0
,,0.3%,,118,,0.04,,0
,,0.2%,,128,,0.05,,0
,,0.3%,,130,,0.05,,0
,,0.4%,,142,,0.06,,0
,,0.2%,,168,,0.05,,0
,,0.3%,,168,,0.05,,0
,,0.3%,,182,,0.05,,0
110,110,0.3%,110,182,110,0.08,110,0
,,0.3%,,184,,0.06,,0
,,0.4%,,188,,0.08,,0
,,0.4%,,182,,0.06,,0
,,0.4%,,246,,0.06,,0
,,0.3%,,246,,0.07,,0
,,0.4%,,192,,0.08,,0
,,0.3%,,190,,0.08,,0
,,0.8%,,176,,0.07,,0
,,0.4%,,188,,0.08,,0
