quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.9%,,6,,0.21,,0
,,2.1%,,2,,0.43,,0
,,0.5%,,1,,0.31,,21300
,,0.6%,,1,,0.21,,0
,,2.1%,,1,,0.20,,0
,,0.5%,,1,,0.11,,0
,,0.3%,,1,,0.09,,0
,,3.1%,,1,,0.09,,0
10,10,,10,1,10,0.09,10,0
,,1.0%,,1,,0.24,,0
,,0.6%,,1,,,,
,,0.9%,,1,,0.17,,0
,,,,1,,0.10,,
,,0.6%,,1,,,,0
,,0.6%,,1,,0.10,,0
,,0.7%,,,,0.10,,0
,,0.9%,,2,,0.21,,0
,,0.9%,,1,,0.12,,0
20,20,0.8%,20,1,20,0.10,20,0
,,0.8%,,1,,0.12,,0
,,2.8%,,,,0.21,,0
,,2.5%,,1,,0.13,,0
,,1.8%,,1,,0.18,,0
,,0.4%,,1,,0.38,,0
,,0.6%,,1,,0.31,,0
,,1.8%,,1,,0.17,,0
,,1.1%,,1,,0.10,,0
,,2.8%,,1,,0.21,,0
30,30,1.1%,30,1,30,0.33,30,0
,,0.7%,,1,,0.11,,0
,,1.1%,,1,,0.12,,0
,,0.7%,,1,,0.12,,0
,,0.7%,,1,,0.12,,0
,,0.6%,,1,,0.11,,0
,,0.9%,,1,,0.11,,0
,,0.4%,,1,,0.33,,0
,,4.1%,,1,,0.12,,0
,,0.9%,,1,,0.14,,0
40,40,0.7%,40,1,40,0.12,40,0
,,0.7%,,1,,0.18,,0
,,0.9%,,1,,0.12,,0
,,0.7%,,1,,0.15,,0
,,0.7%,,1,,0.15,,0
,,0.9%,,1,,,,0
,,1.1%,,1,,0.25,,0
,,0.9%,,1,,,,0
,,0.5%,,1,,0.15,,0
,,0.9%,,1,,0.24,,0
50,50,1.4%,50,2,50,,50,0
,,1.1%,,1,,0.13,,0
,,,,1,,0.15,,0
,,1.5%,,1,,0.13,,
,,,,1,,0.45,,0
,,1.3%,,1,,0.22,,0
,,,,1,,0.46,,
,,1.0%,,1,,0.45,,0
,,0.5%,,1,,0.14,,0
,,1.1%,,1,,0.45,,0
60,60,1.5%,60,1,60,0.19,60,
,,2.4%,,1,,0.35,,0
,,1.1%,,1,,0.21,,0
,,0.7%,,1,,0.31,,0
,,2.4%,,1,,0.15,,0
,,0.9%,,1,,0.16,,0
,,2.4%,,1,,0.18,,0
,,0.9%,,,,0.13,,0
,,0.9%,,2,,0.16,,0
,,1.1%,,,,0.16,,0
70,70,1.1%,70,1,70,0.17,70,0
,,2.0%,,,,0.16,,0
,,0.8%,,1,,0.14,,0
,,3.3%,,1,,0.54,,0
,,1.1%,,1,,0.30,,0
,,1.1%,,1,,0.20,,0
,,1.0%,,1,,0.19,,0
,,0.8%,,1,,0.19,,0
,,0.8%,,1,,0.28,,0
,,1.0%,,1,,0.17,,0
80,80,0.9%,80,1,80,0.23,80,0
,,0.9%,,1,,0.20,,0
,,0.9%,,1,,0.23,,0
,,0.7%,,1,,0.21,,0
,,1.3%,,1,,0.21,,112
,,3.8%,,1,,0.31,,0
,,1.8%,,1,,0.18,,0
,,1.1%,,1,,0.22,,0
,,1.2%,,1,,0.27,,0
,,1.1%,,1,,0.27,,112
90,90,1.0%,90,1,90,0.31,90,112
,,0.8%,,1,,0.39,,0
,,2.0%,,1,,0.20,,0
,,1.4%,,1,,0.21,,0
,,1.3%,,1,,0.44,,0
,,2.1%,,1,,0.29,,0
,,1.1%,,1,,0.34,,0
,,0.8%,,1,,0.49,,0
,,2.9%,,1,,0.30,,0
,,1.7%,,1,,0.31,,0
100,100,2.0%,100,1,100,0.32,100,0
,,1.0%,,1,,0.31,,0
,,1.9%,,1,,0.36,,21300
,,3.1%,,1,,0.32,,0
,,2.3%,,1,,0.49,,0
,,1.7%,,1,,0.37,,0
,,2.1%,,1,,0.40,,0
,,1.8%,,1,,0.40,,21300
,,2.0%,,1,,0.37,,0
,,1.9%,,1,,0.40,,0
