quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70,70,,70,,70,,70,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
80,80,,80,,80,,80,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
90,90,,90,,90,,90,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
100,100,,100,,100,,100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.3%,,4,,0.09,,0
,,0.5%,,12,,0.00,,0
,,0.3%,,20,,0.00,,0
,,0.0%,,16,,0.01,,0
,,0.0%,,20,,0.02,,0
110,110,0.1%,110,20,110,0.01,110,0
,,0.3%,,24,,0.02,,0
,,0.2%,,32,,0.02,,0
,,0.2%,,44,,0.02,,0
,,0.1%,,48,,0.04,,0
,,0.2%,,56,,0.02,,0
,,0.2%,,70,,0.03,,0
,,0.2%,,80,,0.03,,0
,,0.3%,,88,,0.04,,0
,,0.1%,,98,,0.06,,0
120,120,2.4%,120,112,120,0.06,120,0
,,1.5%,,244,,0.62,,0
,,1.5%,,284,,0.16,,0
,,1.5%,,156,,0.15,,0
,,0.5%,,162,,0.07,,0
,,0.8%,,162,,0.08,,0
,,0.4%,,162,,0.07,,0
,,0.4%,,166,,0.07,,0
,,0.5%,,170,,0.07,,0
,,0.3%,,172,,0.10,,0
130,130,0.8%,130,174,130,0.08,130,0
,,0.7%,,180,,0.10,,0
,,0.6%,,184,,0.10,,0
,,0.5%,,190,,0.10,,0
,,0.5%,,190,,0.08,,0
