quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.8%,,6,,0.63,,480
,,2.4%,,4,,0.38,,320
,,2.4%,,1,,0.41,,80
,,3.4%,,1,,0.13,,80
,,1.2%,,1,,0.13,,80
,,0.8%,,1,,0.13,,80
,,0.7%,,1,,0.13,,80
,,0.7%,,1,,0.13,,80
10,10,0.7%,10,1,10,0.14,10,80
,,0.8%,,1,,0.14,,80
,,1.0%,,1,,0.14,,80
,,0.7%,,1,,0.12,,80
,,0.7%,,1,,0.13,,80
,,0.9%,,1,,0.16,,80
,,0.8%,,1,,0.14,,80
,,0.7%,,1,,0.13,,80
,,0.8%,,1,,0.14,,80
,,1.1%,,1,,0.20,,80
20,20,1.1%,20,1,20,0.31,20,80
,,1.0%,,1,,0.23,,80
,,2.8%,,1,,0.12,,80
,,0.8%,,1,,0.13,,80
,,0.8%,,1,,0.13,,80
,,0.7%,,1,,0.12,,80
,,0.8%,,1,,0.12,,80
,,0.7%,,1,,0.13,,80
,,0.7%,,1,,0.13,,80
,,0.7%,,1,,0.13,,80
30,30,0.3%,30,1,30,0.12,30,80
,,1.5%,,2,,0.35,,160
,,2.1%,,1,,0.14,,80
,,0.8%,,1,,0.13,,80
,,0.8%,,1,,0.12,,80
,,0.7%,,1,,0.14,,80
,,0.8%,,1,,0.15,,80
,,0.9%,,1,,0.18,,80
,,1.0%,,1,,0.18,,80
,,0.6%,,1,,0.16,,80
40,40,1.1%,40,1,40,0.18,40,80
,,2.1%,,1,,0.24,,80
,,1.3%,,1,,0.17,,80
,,0.7%,,1,,0.13,,80
,,0.8%,,1,,0.14,,80
,,1.0%,,1,,0.17,,80
,,1.0%,,1,,0.16,,80
,,0.7%,,1,,0.13,,80
,,0.4%,,1,,0.13,,80
,,0.8%,,1,,0.13,,80
50,50,1.5%,50,1,50,0.14,50,80
,,1.0%,,1,,0.14,,80
,,0.8%,,1,,0.14,,80
,,0.7%,,1,,0.15,,80
,,0.9%,,1,,0.14,,80
,,0.7%,,1,,0.15,,80
,,0.9%,,1,,0.13,,80
,,0.8%,,1,,0.15,,80
,,0.5%,,1,,0.26,,80
,,2.2%,,1,,0.14,,160
60,60,,60,2,60,,60,80
,,0.4%,,1,,0.14,,
,,1.4%,,,,0.14,,80
,,1.7%,,2,,0.16,,160
,,1.3%,,1,,0.13,,80
,,1.0%,,1,,0.14,,80
,,0.7%,,1,,0.14,,80
,,0.7%,,1,,0.12,,80
,,0.5%,,1,,0.12,,80
,,1.3%,,1,,0.12,,80
70,70,0.9%,70,1,70,0.14,70,80
,,0.8%,,1,,0.14,,80
,,0.8%,,1,,0.14,,80
,,0.8%,,1,,0.14,,80
