quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,1.0%,50,2,50,0.17,50,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,
,,0.0%,,,,,,0
,,0.0%,,4,,0.01,,0
60,60,0.0%,60,4,60,0.00,60,0
,,,,4,,0.00,,0
,,,,4,,0.00,,
,,,,4,,0.00,,
,,0.0%,,,,,,
,,,,,,,,0
,,0.0%,,,,,,
,,0.0%,,4,,0.00,,0
,,0.0%,,,,,,0
,,0.0%,,4,,0.00,,0
70,70,0.0%,70,4,70,0.00,70,0
,,,,4,,0.00,,
,,0.0%,,4,,0.01,,0
,,0.0%,,,,,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,2,,0.00,,
80,80,0.0%,80,,80,,80,0
,,,,4,,0.00,,0
,,,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,,,0.00,,
,,0.0%,,,,,,
,,,,4,,,,0
,,,,4,,0.00,,0
,,0.0%,,4,,0.01,,0
,,0.0%,,,,,,
90,90,0.1%,90,,90,,90,
,,0.0%,,4,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,6,,0.01,,0
,,,,4,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,,,0.00,,0
,,0.0%,,2,,,,0
,,0.0%,,2,,0.00,,
100,100,0.0%,100,4,100,0.00,100,0
,,,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,,,,,0
,,,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,4,,0.00,,0
,,0.0%,,,,,,
,,0.0%,,4,,0.00,,0
110,110,0.0%,110,8,110,0.00,110,0
,,0.0%,,8,,0.00,,0
,,0.0%,,4,,0.00,,
,,0.0%,,2,,0.00,,0
,,0.0%,,6,,0.00,,0
