quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,1.3%,,6,,0.80,,0
,,4.8%,,3,,0.70,,0
,,4.8%,,1,,0.23,,0
,,2.0%,,1,,0.17,,0
,,1.3%,,1,,0.25,,0
,,1.3%,,1,,0.18,,0
,,1.2%,,1,,0.18,,0
,,1.0%,,1,,0.18,,0
10,10,0.9%,10,1,10,0.16,10,0
,,1.3%,,1,,0.23,,0
,,1.2%,,1,,0.17,,0
,,0.9%,,1,,0.16,,0
,,1.2%,,1,,0.18,,0
,,1.1%,,1,,0.22,,0
,,1.1%,,1,,0.16,,0
,,0.9%,,1,,0.16,,0
,,1.0%,,1,,0.16,,0
,,1.1%,,1,,0.20,,0
20,20,1.1%,20,1,20,0.16,20,0
,,0.9%,,1,,0.15,,0
,,0.9%,,1,,0.17,,0
,,0.9%,,1,,0.19,,0
,,1.1%,,1,,0.19,,0
,,1.0%,,1,,0.15,,0
,,0.9%,,1,,0.15,,0
,,0.9%,,1,,0.17,,0
,,1.2%,,1,,0.16,,0
,,1.0%,,1,,0.20,,0
30,30,0.7%,30,1,30,0.17,30,0
,,2.8%,,1,,0.16,,0
,,0.9%,,1,,0.17,,0
,,0.9%,,1,,0.19,,0
,,0.9%,,1,,0.19,,0
,,1.1%,,1,,0.16,,0
,,1.0%,,1,,0.16,,0
,,1.0%,,1,,0.17,,0
,,1.1%,,1,,0.18,,0
,,1.0%,,1,,0.17,,0
40,40,1.0%,40,1,40,0.15,40,0
,,1.0%,,1,,0.19,,0
,,0.9%,,1,,0.19,,0
,,0.7%,,1,,0.20,,0
,,1.9%,,1,,0.17,,0
,,1.1%,,1,,0.20,,0
,,1.5%,,1,,0.20,,0
,,0.9%,,1,,0.15,,0
,,1.0%,,1,,0.15,,0
,,1.0%,,1,,0.20,,0
50,50,1.2%,50,1,50,0.16,50,0
,,1.0%,,1,,0.49,,0
,,2.7%,,1,,0.20,,0
,,2.3%,,1,,0.39,,0
,,1.1%,,1,,0.18,,0
,,1.1%,,1,,0.20,,0
,,1.2%,,1,,0.22,,80
,,1.2%,,1,,0.19,,0
,,1.1%,,1,,0.28,,0
,,2.2%,,1,,0.19,,0
60,60,1.1%,60,1,60,0.23,60,0
,,1.1%,,1,,0.25,,0
,,1.6%,,1,,0.25,,0
,,1.1%,,1,,0.25,,0
,,1.1%,,1,,0.16,,0
,,1.3%,,1,,0.16,,0
,,5.5%,,1,,0.25,,0
,,1.0%,,1,,0.18,,0
,,1.1%,,2,,,,80
,,1.4%,,1,,0.24,,
70,70,1.1%,70,1,70,0.25,70,0
,,,,1,,0.25,,0
,,1.9%,,1,,0.33,,0
,,1.6%,,1,,0.21,,0
,,1.6%,,,,0.40,,0
,,1.8%,,1,,0.37,,0
,,1.6%,,1,,0.28,,7100
,,1.9%,,1,,0.36,,7100
,,1.5%,,1,,0.25,,21300
,,2.2%,,1,,0.36,,7100
80,80,1.9%,80,1,80,0.32,80,21300
,,1.9%,,1,,0.33,,7100
,,2.4%,,1,,0.28,,21300
,,1.9%,,1,,0.28,,21300
,,1.9%,,1,,0.36,,21300
,,1.5%,,1,,0.28,,21300
,,1.9%,,1,,0.27,,21300
,,2.0%,,1,,0.30,,21300
,,1.7%,,1,,0.31,,21300
,,1.6%,,1,,0.37,,35500
90,90,2.1%,90,1,90,0.53,90,35500
,,1.6%,,1,,1.22,,35500
,,1.6%,,1,,0.41,,35500
,,2.2%,,1,,0.39,,64000
,,1.9%,,1,,0.35,,49800
,,1.8%,,1,,0.45,,49800
,,2.6%,,1,,0.39,,64000
,,1.2%,,1,,0.39,,64000
,,12.9%,,1,,0.39,,64000
,,2.6%,,1,,0.44,,64000
100,100,2.6%,100,1,100,0.39,100,64000
,,3.1%,,1,,0.39,,64000
,,2.6%,,2,,0.47,,64000
,,2.5%,,1,,0.47,,78200
,,2.2%,,1,,,,78200
,,2.7%,,1,,0.36,,78200
,,2.4%,,1,,0.39,,64000
,,2.3%,,1,,0.48,,
,,2.7%,,1,,0.38,,64000
,,2.1%,,1,,0.38,,78200
110,110,2.4%,110,1,110,0.44,110,78200
,,,,1,,0.40,,99500
,,2.3%,,1,,0.51,,78200
,,2.1%,,1,,0.40,,92400
,,2.4%,,,,0.46,,92400
,,2.3%,,1,,0.38,,99500
,,2.4%,,1,,0.46,,99500
,,2.3%,,1,,0.43,,99500
,,2.4%,,1,,0.51,,99500
,,2.4%,,1,,0.42,,106600
120,120,2.5%,120,1,120,0.51,120,92400
,,2.6%,,1,,0.51,,92400
,,2.2%,,1,,0.81,,99500
,,2.9%,,1,,1.58,,113800
,,2.6%,,1,,0.46,,99500
,,2.8%,,1,,0.66,,227500
,,2.7%,,1,,0.47,,128000
,,2.7%,,1,,0.53,,113800
,,2.5%,,1,,0.49,,120900
,,2.5%,,1,,0.56,,135100
130,130,2.5%,130,1,130,0.66,130,142200
,,2.5%,,1,,0.61,,142200
,,1.8%,,1,,0.66,,156400
,,3.1%,,1,,0.66,,170600
,,3.2%,,1,,0.66,,184800
,,22.0%,,2,,0.60,,163500
,,2.8%,,1,,0.64,,170600
,,2.8%,,1,,0.54,,170600
,,2.9%,,1,,0.57,,192000
,,2.8%,,1,,0.65,,163500
140,140,3.2%,140,1,140,0.53,140,170600
,,3.5%,,1,,0.53,,184800
,,3.2%,,1,,0.65,,184800
,,3.3%,,1,,0.56,,184800
,,3.2%,,1,,0.55,,177700
,,3.2%,,1,,0.54,,192000
,,3.2%,,1,,0.52,,192000
,,3.6%,,1,,0.51,,199100
,,3.7%,,1,,0.58,,192000
,,3.6%,,1,,0.52,,192000
150,150,4.1%,150,1,150,0.55,150,206200
,,3.5%,,1,,0.60,,192000
,,3.5%,,1,,0.50,,199100
,,3.7%,,1,,1.23,,213300
,,3.1%,,1,,0.93,,213300
,,3.4%,,1,,0.59,,234600
,,3.7%,,1,,0.63,,234600
,,3.6%,,1,,0.68,,227500
,,3.4%,,1,,0.62,,234600
,,3.1%,,1,,0.56,,241700
160,160,3.1%,160,1,160,0.62,160,213300
,,3.1%,,1,,0.60,,220400
,,3.3%,,1,,0.60,,220400
,,3.2%,,1,,0.75,,206200
,,3.4%,,1,,0.62,,234600
,,3.3%,,1,,0.68,,220400
,,2.0%,,1,,0.63,,234600
,,5.0%,,1,,0.67,,220400
,,13.8%,,1,,0.63,,220400
,,3.7%,,1,,0.66,,213300
170,170,3.9%,170,1,170,0.62,170,199100
,,3.8%,,1,,0.50,,184800
,,3.9%,,1,,0.47,,184800
,,3.3%,,1,,0.47,,184800
,,3.6%,,1,,0.45,,170600
,,3.6%,,1,,0.44,,170600
,,3.8%,,1,,0.44,,170600
,,4.3%,,1,,0.44,,163500
,,3.6%,,1,,0.52,,163500
,,4.2%,,1,,0.41,,149300
180,180,3.8%,180,1,180,0.39,180,149300
,,4.0%,,1,,0.39,,142200
,,3.9%,,1,,0.38,,128000
,,3.9%,,1,,0.42,,128000
,,3.8%,,1,,0.66,,99500
,,3.0%,,1,,0.33,,78200
,,2.9%,,1,,0.31,,78200
,,2.7%,,1,,0.29,,71100
,,2.6%,,1,,0.28,,56900
,,2.8%,,1,,0.27,,56900
190,190,2.7%,190,1,190,0.29,190,49800
,,2.5%,,1,,0.26,,49800
,,3.3%,,1,,0.31,,49800
,,2.3%,,1,,0.26,,35500
,,2.4%,,1,,0.24,,35500
,,2.2%,,1,,0.24,,14200
,,1.4%,,1,,0.23,,14200
,,1.9%,,1,,0.21,,14200
,,10.6%,,1,,0.21,,0
,,2.1%,,1,,0.13,,0
200,200,1.8%,200,1,200,0.11,200,0
,,1.8%,,1,,0.10,,0
,,1.7%,,1,,0.11,,0
,,1.5%,,1,,0.11,,0
,,1.7%,,1,,0.10,,0
,,1.6%,,1,,0.11,,0
,,1.8%,,1,,0.11,,0
,,1.3%,,1,,0.11,,0
,,1.8%,,1,,0.11,,0
,,1.4%,,1,,0.11,,0
210,210,1.3%,210,1,210,0.10,210,0
,,1.3%,,1,,0.12,,0
,,1.2%,,1,,0.12,,0
,,0.8%,,1,,0.10,,0
,,0.6%,,1,,0.15,,0
,,0.6%,,1,,0.11,,0
,,0.7%,,1,,0.11,,0
,,0.6%,,1,,0.11,,0
,,0.6%,,1,,0.11,,0
,,0.6%,,1,,0.11,,0
220,220,0.6%,220,1,220,0.11,220,0
,,0.6%,,1,,0.12,,0
,,0.6%,,1,,0.11,,0
,,0.6%,,1,,0.12,,0
,,0.6%,,1,,0.12,,0
,,0.6%,,1,,0.11,,0
,,0.3%,,1,,0.16,,0
,,0.5%,,1,,0.12,,0
,,2.6%,,1,,0.12,,0
