quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
70,70,,70,,70,,70,
,,,,,,,,
,,,,,,,,
,,0.5%,,8,,0.09,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,8,,0.01,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.0%,,12,,0.00,,0
80,80,0.1%,80,12,80,0.00,80,0
,,0.0%,,12,,0.00,,0
,,0.0%,,16,,0.00,,0
,,0.0%,,16,,0.00,,0
,,0.1%,,16,,0.00,,0
,,0.1%,,34,,0.00,,0
,,0.1%,,16,,0.02,,0
,,0.0%,,16,,0.01,,0
,,0.1%,,60,,0.03,,0
,,0.0%,,34,,0.00,,0
90,90,0.1%,90,34,90,0.04,90,0
,,0.1%,,30,,0.02,,0
,,0.0%,,34,,0.01,,0
,,0.1%,,34,,0.01,,0
,,0.0%,,34,,0.02,,0
,,0.0%,,34,,0.01,,0
,,0.0%,,34,,0.01,,0
,,0.2%,,38,,0.02,,0
,,0.1%,,38,,0.01,,0
,,0.0%,,30,,0.02,,0
100,100,0.2%,100,30,100,0.01,100,0
,,0.1%,,56,,0.01,,0
,,0.2%,,46,,0.02,,0
,,0.0%,,56,,0.01,,0
,,0.0%,,,,0.01,,0
,,0.2%,,44,,0.01,,0
,,,,56,,,,
,,0.1%,,82,,0.01,,0
,,,,,,0.03,,0
,,0.0%,,50,,,,
110,110,0.7%,110,50,110,0.02,110,0
,,0.1%,,56,,0.10,,0
,,0.1%,,60,,0.02,,0
,,0.1%,,60,,0.02,,0
,,0.1%,,60,,0.02,,0
,,0.1%,,66,,0.02,,0
,,0.1%,,72,,0.02,,0
,,0.1%,,58,,0.02,,0
,,0.0%,,96,,0.02,,0
,,0.2%,,96,,0.02,,0
