quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,1.9%,,4,,0.34,,32
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.0%,,8,,0.00,,0
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,,60,,60,,60,
,,,,,,,,
,,,,,,,,
,,,,6,,0.01,,0
,,0.1%,,8,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,0.00,,0
70,70,0.0%,70,8,70,0.00,70,0
,,0.0%,,8,,,,0
,,,,4,,,,0
,,,,,,,,
,,,,,,,,
,,,,,,0.00,,
,,0.0%,,,,0.00,,
,,,,8,,,,0
,,,,,,,,
,,,,,,,,
80,80,,80,,80,,80,
,,,,,,,,
,,0.0%,,,,0.00,,
,,,,8,,,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.0%,,,,0.01,,
,,,,8,,,,0
,,,,,,,,
90,90,,90,,90,,90,
,,0.0%,,,,0.01,,
,,,,16,,,,0
,,,,,,,,
,,,,,,,,
,,0.0%,,,,0.00,,
,,,,8,,,,0
,,,,,,0.00,,
,,,,4,,,,0
,,0.0%,,,,,,
100,100,0.0%,100,,100,0.00,100,
,,,,6,,,,0
,,,,,,,,0
,,,,,,,,
,,,,,,,,
,,0.0%,,,,0.00,,
,,0.0%,,8,,0.00,,
,,,,8,,,,0
,,,,,,,,0
,,0.0%,,,,0.00,,
110,110,0.0%,110,8,110,0.00,110,
,,0.0%,,8,,0.00,,0
,,0.0%,,6,,,,0
,,0.0%,,4,,0.00,,0
,,,,,,0.03,,
,,0.2%,,4,,0.00,,0
,,,,4,,,,0
,,,,,,,,0
,,0.0%,,,,0.00,,0
,,0.0%,,12,,0.00,,
120,120,0.0%,120,8,120,0.00,120,
,,0.0%,,6,,0.00,,0
,,,,12,,0.00,,0
,,0.0%,,,,,,0
,,0.0%,,4,,0.00,,0
,,,,8,,0.00,,
,,0.0%,,,,,,0
,,,,8,,0.00,,0
,,,,,,,,
,,0.0%,,,,,,0
130,130,0.0%,130,8,130,0.00,130,
,,,,8,,0.01,,
,,0.0%,,,,,,0
