quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.0%,,4,,0.09,,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
60,60,0.0%,60,8,60,0.02,60,
,,0.0%,,,,,,
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,0
,,,,8,,,,
70,70,,70,,70,,70,
,,0.0%,,,,,,
,,,,,,,,
,,,,,,0.00,,0
,,,,4,,0.00,,0
,,,,16,,,,0
,,0.0%,,16,,,,
,,0.0%,,,,,,
,,,,,,,,
,,,,,,,,
80,80,,80,,80,,80,0
,,,,8,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,0
,,0.0%,,,,,,0
,,0.0%,,,,0.01,,
,,0.0%,,,,,,
,,0.0%,,,,,,
90,90,0.0%,90,8,90,,90,
,,,,,,0.01,,
,,,,,,,,
,,,,,,,,
,,,,16,,,,0
,,0.1%,,,,0.01,,
,,,,,,,,
,,,,,,0.00,,
,,,,8,,,,0
,,0.0%,,,,,,0
100,100,,100,4,100,0.00,100,0
,,,,6,,,,
,,,,,,,,
,,0.0%,,,,,,
,,,,8,,0.01,,0
,,0.0%,,,,0.00,,0
,,,,6,,,,0
,,,,,,0.00,,
,,0.0%,,,,,,0
,,0.0%,,4,,0.02,,
110,110,0.0%,110,8,110,,110,
,,,,,,0.00,,0
,,0.0%,,6,,,,0
,,,,8,,0.01,,0
,,,,6,,0.00,,
,,0.0%,,,,,,0
,,0.0%,,14,,0.00,,0
,,0.0%,,4,,0.01,,
,,,,,,0.00,,
,,,,,,0.00,,0
120,120,0.1%,120,4,120,,120,
,,,,6,,0.01,,0
,,0.0%,,12,,0.00,,0
,,,,6,,,,
,,0.0%,,8,,,,0
,,0.0%,,,,0.00,,0
,,0.0%,,8,,,,0
,,,,4,,0.01,,0
,,0.0%,,4,,0.00,,
,,0.0%,,4,,0.01,,0
130,130,0.0%,130,,130,,130,0
,,0.0%,,8,,0.01,,
,,0.0%,,4,,,,
