quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,3.7%,,6,,1.84,,7100
,,96.5%,,1,,0.92,,3700000
,,96.5%,,1,,0.55,,3700000
,,4.2%,,1,,2.61,,7100
,,2.0%,,1,,389.48,,64000
,,5.2%,,1,,2.61,,64000
,,3.7%,,1,,0.60,,7100
,,3.2%,,6,,0.87,,3000000
10,10,6.0%,10,6,10,0.89,10,21300
,,4.1%,,1,,2.61,,21300
,,93.2%,,1,,1.19,,21300
,,93.2%,,1,,1.46,,64000
,,8.3%,,1,,1.75,,21300
,,10.6%,,1,,1.23,,21300
,,7.6%,,1,,389.48,,3200000
,,34.5%,,1,,389.48,,3200000
,,9.4%,,1,,1.53,,42700
,,10.2%,,1,,1.35,,42700
20,20,34.5%,20,1,20,2.00,20,42700
,,10.8%,,1,,1.55,,42700
,,18.7%,,1,,2.96,,3000000
,,16.5%,,1,,3.61,,3000000
,,15.6%,,1,,2.61,,64000
,,12.7%,,1,,2.61,,128000
,,34.5%,,1,,2.62,,64000
,,24.2%,,1,,2.09,,64000
,,21.1%,,1,,3.61,,64000
,,19.0%,,1,,3.30,,64000
30,30,72.7%,30,1,30,3.22,30,128000
,,34.5%,,1,,3.25,,64000
,,48.3%,,1,,3.61,,92400
,,52.6%,,1,,3.31,,92400
,,34.5%,,2,,16.58,,128000
,,24.2%,,2,,4.93,,92400
,,42.2%,,1,,5.98,,85300
,,53.8%,,1,,3.66,,241700
,,14.8%,,1,,3.61,,106600
,,52.6%,,1,,7.97,,99500
40,40,46.8%,40,1,40,3.61,40,99500
,,50.7%,,1,,4.40,,128000
,,26.9%,,1,,7.20,,135100
,,52.6%,,1,,6.58,,128000
,,55.9%,,1,,3.67,,120900
,,45.0%,,1,,9.85,,128000
,,28.2%,,1,,4.40,,128000
,,52.6%,,1,,4.54,,128000
,,30.6%,,1,,7.28,,170600
,,52.4%,,1,,4.40,,120900
50,50,52.6%,50,1,50,6.26,50,163500
,,56.7%,,1,,8.67,,149300
,,29.6%,,1,,5.44,,142200
,,31.3%,,1,,6.82,,120900
,,45.6%,,1,,4.40,,142200
,,58.6%,,1,,4.10,,149300
,,37.0%,,1,,6.95,,142200
,,50.6%,,1,,4.40,,120900
,,56.7%,,1,,10.60,,142200
,,42.6%,,1,,9.05,,120900
60,60,15.5%,60,1,60,8.47,60,113800
,,56.7%,,1,,7.60,,319900
,,56.7%,,1,,7.52,,156400
,,76.6%,,1,,4.84,,156400
,,39.4%,,1,,16.57,,149300
,,56.7%,,1,,18.16,,128000
,,67.5%,,1,,9.05,,106600
,,31.5%,,2,,6.95,,142200
,,57.5%,,1,,11.34,,255900
,,77.8%,,2,,9.05,,319900
70,70,61.7%,70,1,70,9.05,70,227500
,,55.7%,,1,,9.06,,319900
,,60.3%,,1,,9.05,,319900
,,54.4%,,1,,9.93,,156400
,,68.2%,,1,,11.27,,163500
,,68.1%,,2,,11.32,,163500
,,57.5%,,1,,17.22,,319900
,,68.7%,,1,,10.53,,156400
,,57.5%,,1,,12.45,,184800
,,69.1%,,1,,8.50,,199100
80,80,57.5%,80,2,80,8.24,80,184800
,,61.1%,,1,,11.27,,177700
,,57.5%,,1,,11.80,,319900
,,52.4%,,1,,10.02,,184800
,,73.4%,,1,,11.27,,184900
,,69.2%,,1,,10.47,,192000
,,71.1%,,1,,11.27,,184800
,,64.3%,,1,,26.07,,199100
,,64.3%,,1,,12.09,,184800
,,71.3%,,1,,11.27,,199100
90,90,73.4%,90,1,90,10.55,90,199100
,,44.3%,,1,,22.64,,199100
,,78.9%,,1,,17.35,,199100
,,78.7%,,1,,26.07,,199100
,,73.4%,,1,,41.33,,199100
,,73.4%,,2,,25.44,,199100
,,73.4%,,2,,26.38,,220400
,,73.4%,,2,,22.81,,440800
,,82.5%,,1,,26.07,,433700
,,80.2%,,3,,26.07,,412300
