quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.5%,,1,,0.26,,80
,,,,1,,,,80
,,,,,,,,
,,,,,,,,
,,1.5%,,,,0.26,,
,,1.5%,,1,,0.26,,80
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,1.7%,,,,0.26,,80
,,,,,,,,80
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,1,,,,
,,1.2%,,1,,0.23,,
20,20,,20,,20,0.26,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,1.4%,,1,,,,80
,,,,,,0.24,,80
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,1.3%,,1,,,,
,,0.0%,,,,0.40,,
,,,,,,0.40,,
,,,,,,,,
,,,,1,,,,80
,,2.1%,,,,,,
,,,,,,0.32,,
,,,,,,,,
,,,,,,,,
40,40,,40,,40,,40,
,,,,,,,,80
,,,,,,,,
,,,,,,0.25,,
,,,,,,,,
,,,,,,,,
,,,,1,,,,
,,1.1%,,1,,,,
,,,,,,,,
,,,,,,0.23,,
50,50,,50,,50,,50,
,,,,,,,,
,,,,,,,,80
,,2.1%,,1,,,,80
,,,,,,,,
,,,,,,0.29,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,0.8%,,1,,,,80
60,60,,60,,60,,60,
,,,,,,0.26,,
,,,,,,,,
,,,,,,,,80
,,,,,,,,
,,,,,,0.24,,
,,,,,,0.31,,
,,3.0%,,,,,,
,,,,,,,,80
,,,,,,,,
70,70,,70,,70,,70,
,,,,,,0.44,,
,,1.5%,,,,,,
,,0.0%,,,,,,80
,,,,,,,,
,,,,,,,,
,,,,1,,,,
,,,,,,,,
,,,,,,,,
,,1.1%,,,,,,80
80,80,,80,,80,,80,
,,,,,,0.23,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,1,,,,
,,,,1,,,,
,,,,,,,,
,,0.5%,,,,,,80
,,0.0%,,,,,,
90,90,0.8%,90,,90,0.23,90,
,,,,,,,,
,,,,1,,,,
,,,,,,,,
,,,,,,,,80
,,,,1,,,,80
,,0.8%,,1,,0.27,,
,,,,,,,,
,,,,,,,,80
,,0.9%,,,,0.26,,
100,100,,100,1,100,0.24,100,
,,,,1,,,,
,,,,,,,,80
,,1.9%,,,,,,80
,,,,1,,0.32,,
,,,,,,,,
,,,,,,,,80
,,,,,,0.36,,80
,,,,,,0.27,,
,,,,,,,,
110,110,,110,,110,,110,
,,0.9%,,,,,,
,,,,,,,,
,,,,,,,,80
,,,,,,0.27,,
,,,,,,0.24,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
120,120,,120,1,120,,120,
,,,,,,,,
,,0.5%,,1,,,,
,,,,,,,,
,,0.7%,,,,,,80
,,,,,,,,
,,,,1,,,,80
,,,,1,,0.26,,
,,0.1%,,1,,,,
,,0.0%,,1,,,,
130,130,0.1%,130,1,130,,130,80
,,0.1%,,1,,0.27,,80
,,0.1%,,1,,0.25,,80
,,0.0%,,1,,0.26,,80
,,0.1%,,1,,0.26,,80
,,0.0%,,1,,0.26,,80
,,0.1%,,1,,0.28,,80
,,0.1%,,1,,0.24,,80
,,0.1%,,1,,0.27,,80
,,0.1%,,1,,0.26,,80
140,140,0.0%,140,1,140,0.24,140,80
,,0.1%,,1,,0.26,,80
,,0.1%,,1,,0.28,,80
,,0.1%,,1,,0.26,,80
,,0.0%,,1,,0.26,,80
,,0.1%,,1,,0.26,,80
,,0.0%,,1,,0.44,,80
,,0.0%,,1,,0.28,,80
,,0.0%,,1,,0.24,,80
,,0.0%,,1,,0.24,,80
150,150,0.0%,150,1,150,0.26,150,80
,,0.0%,,1,,0.24,,80
,,0.0%,,1,,0.24,,80
,,0.0%,,1,,0.27,,80
,,0.0%,,1,,0.25,,80
,,0.0%,,1,,0.26,,80
,,0.0%,,1,,0.27,,80
,,0.0%,,1,,0.24,,80
,,0.0%,,1,,0.28,,80
,,0.0%,,1,,0.39,,80
160,160,0.0%,160,1,160,0.24,160,80
,,0.0%,,1,,0.25,,80
,,0.0%,,1,,0.31,,80
,,0.0%,,1,,0.28,,80
