quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,0.1%,,6,,0.00,,0
,,0.0%,,12,,0.01,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,12,,0.00,,0
,,0.1%,,20,,0.00,,0
,,0.0%,,60,,0.06,,0
,,0.0%,,42,,0.00,,0
,,0.2%,,42,,0.01,,0
10,10,0.1%,10,648,10,0.06,10,0
,,0.1%,,648,,0.00,,0
,,0.1%,,648,,0.06,,0
,,0.1%,,110,,0.06,,0
,,0.1%,,280,,0.00,,0
,,0.1%,,648,,0.06,,0
,,0.1%,,648,,0.06,,0
,,0.1%,,648,,0.01,,0
,,0.0%,,674,,0.01,,0
,,0.1%,,668,,0.01,,0
20,20,0.1%,20,700,20,0.04,20,0
,,0.0%,,902,,0.02,,0
,,0.0%,,990,,0.04,,0
,,0.0%,,956,,0.02,,0
,,0.0%,,894,,0.02,,0
,,0.0%,,906,,0.02,,0
,,0.0%,,934,,0.06,,0
,,0.0%,,942,,0.06,,0
,,0.0%,,1016,,0.30,,0
,,0.0%,,1098,,0.34,,0
30,30,0.0%,30,1100,30,0.37,30,0
,,0.0%,,1310,,0.47,,0
,,0.0%,,1250,,0.52,,0
,,0.0%,,1308,,0.46,,0
,,0.0%,,1498,,0.46,,0
,,0.1%,,1604,,0.53,,0
,,0.0%,,1658,,0.58,,0
,,0.0%,,END,,0.43,,0
,,0.0%,,,,0.64,,0
,,0.0%,,,,0.64,,0
40,40,0.0%,40,,40,0.60,40,0
,,0.0%,,,,0.64,,0
,,0.0%,,,,0.64,,0
,,0.0%,,,,0.64,,0
,,0.0%,,,,0.64,,0
END,END,0.0%,END,,END,0.71,END,0
,,END,,,,0.59,,END
,,,,,,0.78,,
,,,,,,0.71,,
,,,,,,1.13,,
,,,,,,0.85,,
,,,,,,END,,
