quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,0.0%,,8,,0.16,,0
,,0.0%,,,,,,
,,,,8,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
40,40,,40,10,40,,40,
,,0.0%,,,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,4,,,,END
,,,,4,,0.00,,
END,END,0.0%,END,,END,0.00,END,
,,0.0%,,2,,END,,
,,0.0%,,2,,,,
,,0.0%,,END,,,,
,,0.0%,,,,,,
,,END,,,,,,
