quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,6.4%,,6,,2.79,,42700
,,74.9%,,2,,1.78,,42700
,,74.9%,,1,,5.70,,42700
,,10.5%,,6,,2.75,,2600000
,,74.9%,,1,,2.70,,2600000
,,10.5%,,6,,4.81,,2600000
,,46.9%,,6,,462.84,,42700
,,15.1%,,1,,462.84,,71100
10,10,27.9%,10,1,10,462.84,10,71100
,,63.6%,,1,,4.81,,4800000
,,58.6%,,1,,4.92,,213300
,,54.4%,,1,,5.51,,149300
,,67.8%,,1,,12.31,,192000
,,81.5%,,1,,7.70,,192000
,,74.9%,,1,,11.82,,440800
,,68.8%,,1,,23.53,,1100000
,,74.9%,,6,,12.44,,2600000
,,74.9%,,4,,39.29,,2200000
20,20,74.9%,20,6,20,46.12,20,2600000
,,85.1%,,6,,356.86,,2600000
,,95.2%,,6,,462.84,,2600000
,,93.6%,,6,,432.55,,2600000
,,93.9%,,6,,462.84,,2700000
,,94.9%,,6,,462.84,,3200000
,,95.2%,,6,,462.84,,3500000
,,95.1%,,6,,441.85,,3700000
,,94.9%,,6,,487.74,,6300000
,,93.9%,,6,,475.46,,3400000
30,30,93.8%,30,6,30,566.90,30,6300000
,,93.5%,,6,,655.68,,3400000
,,96.9%,,6,,631.63,,3500000
,,97.3%,,6,,637.46,,6300000
,,98.0%,,6,,561.87,,3600000
,,97.2%,,6,,482.63,,4200000
,,89.1%,,6,,482.84,,4800000
,,END,,6,,553.39,,4700000
,,,,6,,1046.40,,4800000
,,,,6,,1211.48,,4800000
40,40,,40,6,40,1680.61,40,5000000
,,,,6,,1797.26,,4800000
,,,,6,,2082.73,,4800000
,,,,6,,END,,4800000
,,,,6,,,,4800000
END,END,,END,6,END,,END,6300000
,,,,6,,,,5600000
,,,,6,,,,6300000
,,,,6,,,,6300000
,,,,6,,,,6300000
,,,,6,,,,6300000
,,,,6,,,,6300000
,,,,6,,,,6400000
,,,,END,,,,END
