quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,1.0%,,6,,0.32,,0
,,0.7%,,2,,0.17,,0
,,0.5%,,1,,0.09,,0
,,0.4%,,1,,0.08,,0
,,0.6%,,1,,0.07,,0
,,0.5%,,1,,0.08,,0
,,0.4%,,1,,0.08,,0
,,0.4%,,1,,0.08,,0
10,10,,10,,10,,10,0
,,0.7%,,1,,0.12,,0
,,0.5%,,1,,0.08,,
,,0.5%,,1,,0.08,,0
,,0.4%,,1,,0.08,,0
,,0.6%,,1,,0.07,,0
,,0.4%,,1,,0.11,,0
,,0.5%,,1,,0.08,,0
,,0.5%,,1,,0.08,,0
,,0.6%,,1,,0.08,,0
20,20,0.6%,20,1,20,0.11,20,0
,,0.5%,,1,,0.10,,0
,,0.4%,,1,,0.09,,0
,,0.8%,,1,,0.07,,0
,,0.8%,,1,,0.14,,0
,,0.8%,,1,,0.14,,0
,,0.4%,,1,,0.07,,0
,,0.4%,,1,,0.07,,0
,,0.6%,,1,,0.10,,0
,,0.6%,,1,,0.11,,0
30,30,0.2%,30,1,30,0.10,30,0
,,1.5%,,1,,0.08,,0
,,10.4%,,2,,0.26,,0
,,1.3%,,1,,0.76,,0
,,0.5%,,1,,0.20,,0
,,,,,,0.08,,0
,,1.1%,,2,,,,0
,,,,,,0.19,,0
,,0.4%,,1,,,,
,,0.5%,,1,,0.08,,0
40,40,0.5%,40,1,40,0.08,40,
,,0.8%,,1,,0.13,,0
,,0.5%,,1,,0.09,,0
,,0.5%,,1,,0.09,,0
,,3.0%,,1,,0.54,,0
,,1.5%,,1,,0.15,,0
,,0.7%,,1,,0.23,,0
,,0.9%,,1,,0.12,,72
,,0.9%,,1,,0.15,,0
,,0.6%,,1,,0.16,,0
50,50,1.8%,50,1,50,0.11,50,0
,,0.7%,,1,,0.29,,0
,,1.2%,,1,,0.11,,0
,,0.9%,,1,,0.20,,0
,,0.6%,,1,,0.15,,0
,,0.7%,,1,,0.10,,0
,,1.1%,,1,,0.18,,0
,,0.9%,,1,,0.15,,0
,,0.8%,,1,,0.16,,0
,,0.7%,,1,,0.10,,0
60,60,0.9%,60,1,60,0.26,60,0
,,0.7%,,1,,0.15,,0
,,0.3%,,1,,0.11,,0
,,1.6%,,2,,0.11,,0
,,2.5%,,1,,0.26,,0
,,0.9%,,1,,0.13,,0
,,0.6%,,1,,0.15,,0
,,1.3%,,1,,0.10,,0
,,0.8%,,1,,0.22,,0
,,0.5%,,1,,0.13,,0
70,70,1.0%,70,1,70,0.09,70,0
,,0.6%,,1,,0.10,,0
