quadrosTotal,quadrosTotalPercent,totalPercent,quadrosCalls,calls,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,10,,10,,10,,10,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20,20,,20,,20,,20,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,30,,30,,30,,30,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
40,40,0.6%,40,2,40,0.00,40,0
,,0.0%,,2,,0.11,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,2,,0.00,,0
,,0.0%,,4,,0.00,,0
50,50,0.0%,50,6,50,0.00,50,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.01,,0
,,0.0%,,6,,0.00,,0
,,0.0%,,6,,0.01,,0
,,0.0%,,6,,0.00,,0
60,60,0.0%,60,6,60,0.00,60,0
,,0.1%,,6,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.0%,,8,,0.02,,0
,,0.0%,,8,,0.02,,0
,,0.0%,,8,,0.02,,0
,,0.1%,,8,,0.00,,0
,,0.1%,,8,,0.01,,0
,,0.1%,,8,,0.00,,0
,,0.1%,,12,,0.00,,0
70,70,0.1%,70,12,70,0.00,70,0
,,0.0%,,8,,0.01,,0
,,0.1%,,10,,0.02,,0
,,0.1%,,8,,0.02,,0
,,0.1%,,8,,0.02,,0
,,0.0%,,8,,0.01,,0
,,0.0%,,8,,0.02,,0
,,0.1%,,12,,0.02,,0
,,0.0%,,10,,0.02,,0
,,0.0%,,8,,0.02,,0
80,80,0.1%,80,10,80,0.02,80,0
,,0.0%,,8,,0.00,,0
,,0.0%,,8,,0.00,,0
,,0.1%,,8,,0.01,,0
,,0.1%,,10,,0.03,,0
,,0.0%,,10,,0.00,,0
,,0.1%,,10,,0.00,,0
,,0.1%,,10,,0.00,,0
,,0.1%,,8,,0.02,,0
,,0.0%,,10,,0.02,,0
90,90,0.1%,90,12,90,0.00,90,0
,,0.0%,,12,,0.02,,0
,,0.1%,,12,,0.01,,0
,,0.0%,,12,,0.01,,0
,,0.2%,,14,,0.01,,0
,,0.0%,,16,,0.01,,0
,,0.1%,,18,,0.01,,0
,,0.0%,,32,,0.01,,0
,,0.0%,,16,,0.06,,0
,,0.0%,,18,,0.01,,0
100,100,0.0%,100,20,100,0.01,100,0
,,0.0%,,18,,0.01,,0
,,0.5%,,18,,0.01,,0
