quadrosTotal,quadrosCalls,calls,quadrosSelfTime,selfTime,quadrosTotalTime,totalTime,quadrosGCMemory,gcMemory
,,,,,,,,
,,6,,0.02,,0.34,,0
,,2,,0.00,,0.12,,0
,,1,,0.00,,0.08,,0
5,5,1,5,0.00,5,0.06,5,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.06,,0
10,10,1,10,0.00,10,0.06,10,0
,,1,,0.00,,0.09,,0
,,1,,0.00,,0.06,,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.07,,0
15,15,1,15,0.00,15,0.07,15,0
,,1,,0.00,,0.08,,0
,,1,,0.01,,0.08,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.07,,0
20,20,1,20,0.00,20,0.07,20,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.06,,0
25,25,1,25,0.00,25,0.07,25,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.07,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.07,,0
30,30,1,30,0.00,30,0.07,30,0
,,2,,0.00,,0.13,,0
,,2,,0.00,,0.58,,72
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
35,35,1,35,0.00,35,0.08,35,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
40,40,1,40,0.00,40,0.10,40,0
,,1,,0.00,,0.09,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.09,,0
45,45,1,45,0.00,45,0.10,45,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
50,50,1,50,0.00,50,0.09,50,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.09,,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.08,,0
55,55,1,55,0.00,55,0.08,55,0
,,1,,0.00,,0.08,,0
,,1,,0.00,,0.09,,0
,,1,,0.00,,0.18,,0
,,1,,0.00,,0.10,,0
60,60,1,60,0.00,60,0.08,60,0
,,2,,0.00,,0.45,,3600
,,1,,0.00,,0.22,,3600
